precio;sub_descr;href;ubicacion;habitaciones;banios;planta;otros;latitude;longitude;mt2;CCAA
3.200 €/mes;Piso en Centro;/alquilar/piso-laredo_centro39770-43403460022_106000/;Centro (Laredo);2 habs.;2 baños;2ª planta;"¡Bonito apartamento en el centro de laredo y a escasos metros de la paya salvé!

Un apartamento moderno y funcional. Cuenta con do...";43.410932303;-3.414800789;;cantabria
1.200 €/mes;Ático en calle de Emilia Pardo Bazán, 4;/alquilar/atico-puerto_chico39003-35011141220_427100/;Puerto Chico (Santander);1 hab.;2 baños;;"Disponible a partir de 1 septiembre.
Acogedor  piso exterior, bohemio, muy luminoso con vistas 360º para ver los atardeceres más i...";43.46341479437432;-3.8012301079045963;82 m²;cantabria
750 €/mes;Piso en Paseo del General Dávila;/alquilar/piso-los_castros39007-42571190685_101800/;Los Castros (Santander);2 habs.;1 baño;;Piso reformado en el grupo san francisco compuesto por 2 habitaciones, salón, cocina equipada y baño, calefacción individual, exte...;43.469097203;-3.795158709;55 m²;cantabria
850 €/mes;Piso en calle Alta;/alquilar/piso-numancia_san_fernando39008-44232159102_103800/;Numancia-San Fernando (Santander);3 habs.;2 baños;4ª planta;Cerca del hospital marqués de valdecilla, c/alta, alve alquila estupendo piso grande y espacioso,distribuido en 3 habitaciones, am...;43.4590262;-3.8170499;110 m²;cantabria
850 €/mes;Piso en calle de Rubio;/alquilar/piso-santander_centro_ayuntamiento39001-45011376555_108900/;Centro-Ayuntamiento (Santander);2 habs.;1 baño;1ª planta;Distrito inmobiliario alquila de septiembre a junio en pleno centro de santander en calle peatonal, este luminoso piso.distribuido...;43.4622605;-3.813224;75 m²;cantabria
2.300 €/mes;Piso en Avenida de la Reina Victoria;/alquilar/piso-puerto_chico39004-45076921817_108900/;Puerto Chico (Santander);2 habs.;2 baños;1ª planta;Alquiler vacacional por quincenas. Distrito inmobiliario alquila piso en reina victoria para máximo de 4 personas.está distribuido...;43.4636181;-3.7900736;70 m²;cantabria
650 €/mes;Piso en calle La Secada;/alquilar/piso-santander_cuatro_caminos39010-45889829970_108900/;Cuatro Caminos (Santander);2 habs.;1 baño;4ª planta;Septiembre a junio. Se alquila piso en la zona de cuatro caminos ideal para el personal del hospital marqués de valdecilla ya que ...;43.4586351;-3.8266714;70 m²;cantabria
1.900 €/mes;Piso en Paseo de Menéndez Pelayo;/alquilar/piso-brazomar39700-45022295062_100500/;Brazomar (Castro Urdiales);2 habs.;1 baño;1ª planta;"Se alquila por temporada vivienda a 200m de la playa de brazomar.
Julio: 
Mensual 2.000€
Quincena 1.300€ 
- capacidad máxima 4 per...";43.373526034;-3.214615513;70 m²;cantabria
860 €/mes;Piso en calle de Alfonsina Storni;/alquilar/piso-santander_la_pereda39012-44237993900_100500/;La Pereda (Santander);2 habs.;2 baños;3ª planta;"Solo alquiler temporal, desde el 1 de septiembre de 2024 hasta el 30 de junio de 2025.

Piso nuevo, bien amueblado y equipado.
Con...";43.4754017;-3.803418;102 m²;cantabria
875 €/mes;Ático en calle de Velázquez, 5;/alquilar/atico-brazomar39700-44213112358_100500/;Brazomar (Castro Urdiales);2 habs.;1 baño;;"Precioso atico en castro-urdiales.

A 5 minutos de la playa de brazomar.

Zona residencial muy tranquila

Muy bien situado, próxim...";43.3729;-3.21692;72 m²;cantabria
