precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
2.500 €/mes;;/alquilar/casa_pareada-villaviciosa_de_odon_centro-44253413370_100500/;Centro (Villaviciosa de Odón);4 habs.;4 baños;239 m²;"Alquiler solo para familias. No se aceptan mascotas. 

Chalet pareado totalmente reformado en casco urbano de villaviciosa de odón...";40.354758892;-3.91103353;;madrid
2.950 €/mes;;/alquilar/casa_adosada-estacion_zona_norte28224-45891444681_101800/;Estación-Zona Norte (Pozuelo de Alarcón);4 habs.;3 baños;337 m²;Fantástico chalet adosado de esquina en de 337 m² en la zona de la estación de pozuelo. Dispone de jardín de 150 m² con piscina. C...;40.4487841;-3.7939034;;madrid
3.300 €/mes;;/alquilar/casa_adosada-estacion_zona_norte28224-45098643492_108900/;Estación-Zona Norte (Pozuelo de Alarcón);5 habs.;4 baños;235 m²;Se alquila precioso chalet adosado en la tranquila y exclusiva urbanización de la zona estación en pozuelo de alarcón. La vivienda...;40.4521056;-3.8011082;;madrid
1.400 €/mes;;/alquilar/piso-villaviciosa_de_odon_centro-41765336556_521787/;Centro (Villaviciosa de Odón);3 habs.;2 baños;140 m²;"Piso sin amueblar, amplio y muy luminoso, en alquiler en el centro de villaviciosa de odón, de tres habitaciones y dos baños.
Exce...";40.35673406;-3.902671777;1ª planta;madrid
700 €/mes;;/alquilar/piso-aranjuez_centro-44233377926_526280/;Centro (Aranjuez);1 hab.;1 baño;42 m²;"Estupendo piso en alquiler en aranjuez - proarea inmobiliaria.

Imprescindible contrato de trabajo y nóminas para estudio de viabi...";40.0330712;-3.6000899;3ª planta;madrid
950 €/mes;;/alquilar/piso-zona_calle_casa_amarilla28260-45842562800_516163/;Zona Calle Casa Amarilla (Galapagar);2 habs.;1 baño;84 m²;Martínez cal presenta esta magnífica vivienda en una excelente ubicación, a la entrada del pueblo. Con todas las comodidades a man...;40.5766979;-4.0006664;1ª planta;madrid
1.422 €/mes;Apartamento en calle de Barbieri, 8;/alquilar/apartamento-justicia_chueca28004-31756652007_518087/;Justicia-Chueca (Distrito Centro. Madrid Capital);1 hab.;1 baño;40 m²;Acogedor apartamento de una habitación en el centro de madrid, en el barrio de chueca. Fácil acceso a supermercados, tiendas, rest...;40.42088574293719;-3.6981394458990398;3ª planta;madrid
2.000 €/mes;;/alquilar/piso-goya28006-45881774760_100500/;Goya (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;87 m²;Piso interior pero con abundante luz (le entra el sol en 2 estancias). Con 2 dormitorios amplios, baño completo y aseo. Salón y co...;40.426634;-3.6709058;1ª planta;madrid
3.500 €/mes;;/alquilar/piso-universidad_malasana28015-45840560200_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);4 habs.;3 baños;161 m²;Ubicado en una de las zonas más céntricas y codiciadas de madrid, este espectacular piso de 161 m² se encuentra a pocos pasos de l...;40.426164;-3.7112304;3ª planta;madrid
950 €/mes;;/alquilar/atico-bellas_vistas28039-45924861830_100500/;Bellas Vistas (Distrito Tetuán. Madrid Capital);1 hab.;1 baño;44 m²;¡Descubre tu nuevo hogar en las alturas! Este encantador ático en alquiler, ubicado en la última planta de un edificio de tres pis...;40.4564595;-3.7056067;;madrid
950 €/mes;;/alquilar/piso-daganzo_de_arriba_centro_urbano-45869977730_100500/;Daganzo de Arriba;3 habs.;2 baños;93 m²;Bonito piso sin amueblar de 93m² construidos listo para entrar a vivir. Dispone de 3 dormitorios, 2 baños, zonas comunes y plaza d...;40.5468213;-3.4610208;Bajo;madrid
966 €/mes;;/alquilar/duplex-rosa_luxemburgo_padreron_poligono_industrial_norte-45929577672_996542/;Rosa Luxemburgo-Padrerón-Polígono Industrial Norte (San Sebastián de los Reyes);1 hab.;1 baño;67 m²;Diplomatic real estate ofrece bonito duplex en san sebastian de los reyes de 67 m², en buena ubicación, próximo al hospital infant...;40.5554776;-3.6168699;4ª planta;madrid
1.400 €/mes;;/alquilar/piso-zona_avenida_de_europa28224-45068829832_101800/;Zona Avenida de Europa (Pozuelo de Alarcón);1 hab.;1 baño;65 m²;Oportunidad se alquila piso sin comisión, consumo de agua y gastos de comunidad incluidos directamente propiedad. Se alquila piso ...;40.4325624;-3.804644;2ª planta;madrid
950 €/mes;;/alquilar/piso-pueblo-7564837868_997117/;Pueblo (Pozuelo de Alarcón);1 hab.;1 baño;52 m²;"Oportunidad para vivir en una vivienda de nueva construcción en el centro de pozuelo de alarcón.
Ven a verlo sin compromiso!!!!";40.436283231;-3.817112502;1ª planta;madrid
6.950 €/mes;;/alquilar/piso-gaztambide28015-45882678195_101800/;Gaztambide (Distrito Chamberí. Madrid Capital);4 habs.;4 baños;298 m²;Exquisito, fino, elegante, prestigioso y único, son algunos de los múltiples adjetivos con los que podríamos describir este precio...;40.4352979;-3.7169488;4ª planta;madrid
2.100 €/mes;;/alquilar/piso-sol_barrio28013-45868910835_100500/;Sol (Distrito Centro. Madrid Capital);2 habs.;2 baños;85 m²;"Domum realty alquila: ¡Precioso piso completamente reformado, en pleno centro de madrid! 
 
**disponibilidad inmediata. 

El piso ...";40.4198846;-3.707663;4ª planta;madrid
3.500 €/mes;;/alquilar/piso-chamberi_vallehermoso28003-45920540426_100500/;Vallehermoso (Distrito Chamberí. Madrid Capital);5 habs.;2 baños;134 m²;¡Oportunidad única de alquiler en vallermoso! Presentamos este amplio y luminoso piso de 134 m², ideal para familias numerosas o g...;40.4425563;-3.715782;;madrid
3.450 €/mes;;/alquilar/piso-piovera28043-45017934660_109300/;Piovera (Distrito Hortaleza. Madrid Capital);3 habs.;2 baños;153 m²;"En una de las mejores urbanizaciones del conde orgaz, se alquila piso de lujo reformado recientemente.
La vivienda consta de una a...";40.453169889;-3.647457854;;madrid
1.200 €/mes;;/alquilar/estudio-zona_avenida_de_europa28224-45068964365_101800/;Zona Avenida de Europa (Pozuelo de Alarcón);;1 baño;60 m²;Estudio en alquiler en avenida de europa, 16 pozuelo de alarcón. Este encantador inmueble de 60 m² construidos te ofrece un amplio...;40.437792537;-3.79383859;;madrid
900 €/mes;;/alquilar/loft-recoletos28001-45019322049_100500/;Recoletos (Distrito Salamanca. Madrid Capital);1 hab.;1 baño;21 m²;"Estudio en alquiler en la calle núñez de balboa
Es una entre planta con mucha luz 
Tiene un baño, cocina office y un sofá-cama 
Ex...";40.427726062;-3.682537623;;madrid
3.100 €/mes;;/alquilar/piso-recoletos28001-45835585205_101800/;Recoletos (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;127 m²;Walter haus presenta este espectacular piso de 127 m² en una finca con ascensor, ubicado en el prestigioso barrio de recoletos, a ...;40.4293661;-3.6850648;4ª planta;madrid
2.024 €/mes;;/alquilar/apartamento-justicia_chueca28004-35006863295_518087/;Justicia-Chueca (Distrito Centro. Madrid Capital);1 hab.;1 baño;103 m²;Este apartamento posee un impresionante salón/comedor. Este alojamiento se encuentra en un edificio histórico y tiene un total de ...;40.4232085;-3.696534;3ª planta;madrid
4.000 €/mes;;/alquilar/chalet_adosado-el_soto_de_la_moraleja28109-13382917339_179400/;El Soto de la Moraleja (La Moraleja);5 habs.;5 baños;350 m²;"Magnapol alquila chalet adosado  muy bien ubicado cerca de los colegios de el soto de la moraleja.

El chalet posee tres plantas:
...";40.525146;-3.6472;;madrid
3.200 €/mes;;/alquilar/piso-la_moraleja_encinar_de_los_reyes-2530236044_179400/;Encinar de los Reyes (La Moraleja);3 habs.;3 baños;170 m²;Magnapol alquila piso en el encinar de los reyes situado dentro de una urbanización cerrada con seguridad  próximo a colegios y ce...;40.5067117;-3.6458731;1ª planta;madrid
1.500 €/mes;;/alquilar/piso-moncloa_aravaca_aravaca28023-45072351463_101800/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);2 habs.;1 baño;90 m²;Nuestra promoción de viviendas azata plaza, se sitúa en la c/ avda de europa,27 en donde podemos disfrutar de zonas comunes con pi...;40.4446662;-3.7879384;2ª planta;madrid
