precio;sub_descr;href;ubicacion;habitaciones;banios;planta;otros;latitude;longitude;mt2;CCAA
600 €/mes;Piso en Centro;/alquilar/piso-laredo_centro39770-43403460022_106000/;Centro (Laredo);2 habs.;2 baños;2ª planta;¡Bonito apartamento en el centro de laredo y a escasos metros de la paya salvé! Disponible para alquiler de temporada, de septiemb...;43.410932303;-3.414800789;;cantabria
750 €/mes;Piso en Paseo del General Dávila;/alquilar/piso-los_castros39007-42571190685_101800/;Los Castros (Santander);2 habs.;1 baño;;Piso reformado en el grupo san francisco compuesto por 2 habitaciones, salón, cocina equipada y baño, calefacción individual, exte...;43.469097203;-3.795158709;55 m²;cantabria
850 €/mes;Piso en calle Alta;/alquilar/piso-numancia_san_fernando39008-44232159102_103800/;Numancia-San Fernando (Santander);3 habs.;2 baños;4ª planta;Cerca del hospital marqués de valdecilla, c/alta, alve alquila estupendo piso grande y espacioso,distribuido en 3 habitaciones, am...;43.4590262;-3.8170499;110 m²;cantabria
650 €/mes;Piso en calle La Secada;/alquilar/piso-santander_cuatro_caminos39010-45889829970_108900/;Cuatro Caminos (Santander);2 habs.;1 baño;4ª planta;Estudiantes y personal sanitario. Septiembre a junio. Se alquila piso en la zona de cuatro caminos ideal para el personal del hosp...;43.4586351;-3.8266714;70 m²;cantabria
850 €/mes;Piso en calle de Rubio;/alquilar/piso-santander_centro_ayuntamiento39001-45011376555_108900/;Centro-Ayuntamiento (Santander);2 habs.;1 baño;1ª planta;Distrito inmobiliario alquila de septiembre a junio en pleno centro de santander en calle peatonal, este luminoso piso.distribuido...;43.4622605;-3.813224;75 m²;cantabria
2.300 €/mes;Piso en Avenida de la Reina Victoria;/alquilar/piso-puerto_chico39004-45076921817_108900/;Puerto Chico (Santander);2 habs.;2 baños;1ª planta;Alquiler vacacional por quincenas. Distrito inmobiliario alquila piso en reina victoria para máximo de 4 personas.está distribuido...;43.4636181;-3.7900736;70 m²;cantabria
875 €/mes;Ático en calle de Velázquez, 5;/alquilar/atico-brazomar39700-44213112358_100500/;Brazomar (Castro Urdiales);2 habs.;1 baño;;"Precioso atico en castro-urdiales.

A 5 minutos de la playa de brazomar.

Zona residencial muy tranquila

Muy bien situado, próxim...";43.3729;-3.21692;72 m²;cantabria
1.995 €/mes;Piso en calle de Canalejas;/alquilar/piso-puerto_chico39004-45092874591_100500/;Puerto Chico (Santander);4 habs.;2 baños;2ª planta;Propiedad de lujo, totalmente amueblada que invita a entrar para comenzar a vivirla y disfrutar del privilegio que supone encontra...;43.46492;-3.7904089;147 m²;cantabria
1.600 €/mes;Dúplex en Plaza de la Villa;/alquilar/duplex-santona_centro_urbano-45885783344_100500/;Santoña;2 habs.;2 baños;2ª planta;Alquiler vacacional de este espectacular dúplex de estilo moderno en santoña, completamente amueblado y equipado con todo lo neces...;43.4442455;-3.4571276;98 m²;cantabria
750 €/mes;Piso en calle de Navarra;/alquilar/piso-el_astillero_centro_urbano-46754640017_101800/;El Astillero;2 habs.;2 baños;5ª planta;2 habitaciones, plaza de garaje y trastero ascensor ,soleado todo el día, aseo ,baño en habitación principal, calefacción gas natu...;43.40004932;-3.821280505;87 m²;cantabria
2.000 €/mes;Piso en Avenida de la Victoria, 36;/alquilar/piso-zona_playa-45863701216_100500/;Zona Playa (Laredo);2 habs.;1 baño;1ª planta;"Se alquila el mes de agosto, 2.000 €
Residencia cercana a la playa salve de laredo. Urbanización con pista de tenis y columpios pa...";43.4096;-3.43052;74 m²;cantabria
650 €/sem;Apartamento en Paseo del Brusco;/alquilar/apartamento-noja_helgueras-45023482633_510167/;Helgueras (Noja);1 hab.;1 baño;1ª planta;"Precioso apartamento con vistas al mar.
En la zona de helgueras, a un paso de la playa.
Apartamento distribuido en cocina, salón c...";43.472619243;-3.506700599;55 m²;cantabria
860 €/mes;Piso en calle de Alfonsina Storni;/alquilar/piso-santander_la_pereda39012-44237993900_100500/;La Pereda (Santander);2 habs.;2 baños;3ª planta;"Solo alquiler temporal, desde el 1 de septiembre de 2024 hasta el 30 de junio de 2025.

Piso nuevo, bien amueblado y equipado.
Con...";43.4754017;-3.803418;102 m²;cantabria
850 €/mes;Piso en calle de Atilano Rodríguez;/alquilar/piso-castilla_hermida39002-45051803901_990805/;Castilla-Hermida (Santander);3 habs.;2 baños;2ª planta;No fijo se alquila para fijo. Ideal para personal desplazado por trabajo o estudios, se alquila por periodos inferiores a 11 meses...;43.4583862;-3.8101652;115 m²;cantabria
850 €/mes;Apartamento en Sardinero;/alquilar/apartamento-santander_el_sardinero39005-46729179088_100500/;El Sardinero (Santander);1 hab.;1 baño;1ª planta;"Alquiler para fijo disponible desdel el 1 de septiembre

Se alquila para fijo, piso reformado de un dormitorio en pleno sardinero ...";43.4724072;-3.7845482;42 m²;cantabria
1.400 €/mes;Piso en Centro;/alquilar/piso-laredo_centro39770-45019215663_106000/;Centro (Laredo);2 habs.;1 baño;4ª planta;"Alquiler vacacional de precioso piso en 1ª linea  de playa .

Rubio inmobiliaria  les presenta este estupendo apartamento vacacion...";43.412271099;-3.415670574;50 m²;cantabria
750 €/mes;Piso en calle de los Floranes;/alquilar/piso-santander_cuatro_caminos39010-27546317122_100500/;Cuatro Caminos (Santander);2 habs.;1 baño;7ª planta;"Buscas piso para alquilar para fijo en el centro??
Ética inmobiliaria te ofrece este piso distribuido en 2 habitaciones amplias, c...";43.460426538;-3.822854344;80 m²;cantabria
3.000 €/mes;Piso en Centro;/alquilar/piso-laredo_centro_urbano-25010887808_108500/;Centro (Laredo);1 hab.;1 baño;;Desde inmobiliaria uranga os presentamos este piso en el centro de laredo. Inmueble muy bien situado en la villa, a escasos 300 me...;43.412424571;-3.412766644;58 m²;cantabria
850 €/mes;Piso en Cuatro Caminos;/alquilar/piso-santander_cuatro_caminos39010-46685355587_101800/;Cuatro Caminos (Santander);3 habs.;2 baños;5ª planta;"Se alquila piso de temporada de septiembre a junio en la calle floranes muy cerca de cuatro caminos.
La vivienda consta de salón-c...";43.459153656;-3.824608673;90 m²;cantabria
980 €/mes;Piso en calle del Poeta Gerardo Diego, 1;/alquilar/piso-el_alisal_cazona39011-45877109592_100500/;El Alisal-Cazoña (Santander);3 habs.;2 baños;7ª planta;"Estupendo piso en alquiler en la calle gerardo diego.
 
 La vivienda se localiza en un entorno residencial muy tranquilo, dotado d...";43.4575;-3.84138;125 m²;cantabria
850 €/mes;Piso en calle de Ernest Lluch;/alquilar/piso-santander_la_pereda39012-41700430967_997733/;La Pereda (Santander);2 habs.;2 baños;3ª planta;Se alquila piso por temporada(desde el 1 de noviembre hasta el 30 de junio). 2 habitaciones, salón, cocina equipada y 2 baños. Amu...;43.474603701;-3.80801211;80 m²;cantabria
1.400 €/mes;Piso en Avenida del Doctor Diego Madrazo;/alquilar/piso-santander_cueto-46737407299_995936/;Cueto (Santander);4 habs.;3 baños;4ª planta;"Dúplex grande, impecable y precioso en el ""centro de valdenoja"" con vistas a toda la avenida de diego madrazo. Amueblado. Distribu...";43.4825944;-3.795989;170 m²;cantabria
700 €/mes;Piso en Centro;/alquilar/piso-la_inmobiliaria_barreda-46741195033_106000/;La Inmobiliaria-Barreda (Torrelavega);3 habs.;1 baño;1ª planta;Se alquila piso de temporada, en josé maría pereda , torrelavega, ideal para estudiantes (a 30 minutos andando a la universidad  d...;43.354579614;-4.048053308;82 m²;cantabria
850 €/mes;Piso en calle calle Santa María Egipciaca;/alquilar/piso-santander_centro_ayuntamiento39008-46687933024_102200/;Centro-Ayuntamiento (Santander);2 habs.;2 baños;4ª planta;Solo fijo. No mascotas. En la c/ santa maria egipciaca en pleno centro de santander, pasnuevopiso pone en alquiler en exclusiva es...;43.4603873;-3.8117157;105 m²;cantabria
650 €/mes;Piso en Castilla - Hermida;/alquilar/piso-castilla_hermida39009-45932607383_100500/;Castilla-Hermida (Santander);1 hab.;1 baño;4ª planta;En una muy buena calle de santander, con los servicios de la ciudad cerca y al lado del centro, encontraras este amplio apartament...;43.4570656;-3.8102824;65 m²;cantabria
790 €/mes;Piso en calle de la Enseñanza;/alquilar/piso-santander_centro_ayuntamiento39001-45015124003_993981/;Centro-Ayuntamiento (Santander);2 habs.;2 baños;1ª planta;"Alquiler temporal. No se alquila para fijo. Curso escolar o varios meses por trabajo.  
Piso próximo al ayuntamiento. Amueblado y ...";43.463923;-3.8106078;81 m²;cantabria
1.700 €/mes;Piso en calle del Laurel;/alquilar/piso-trengandin-44230889431_102200/;Trengandín (Noja);2 habs.;1 baño;3ª planta;Alquiler vacacional de junio a septiembre nuevo - bonita vivienda en noja con piscina y zonas verdes, cerca de la playa de trengan...;43.477075182;-3.521198814;60 m²;cantabria
950 €/mes;Dúplex en Urbanización Barrio Las Reigadas;/alquilar/duplex-liencres-46753849618_993981/;Liencres (Piélagos);3 habs.;2 baños;1ª planta;Amplio duplex de 110 m² aprox, distribuido en: planta baja: hall de entrada. Amplio salón - comedor. Cocina con tendedero. Dormito...;43.459926411;-3.929278062;120 m²;cantabria
750 €/mes;Piso en Bajada del Chorrillo, 8;/alquilar/piso-castro_urdiales_centro-46746054767_100500/;Centro (Castro Urdiales);2 habs.;2 baños;2ª planta;Inmobiliaria era tiene el placer de presentar este encantador piso de dos habitaciones situado en pleno centro de castro urdiales....;43.3828;-3.22312;91 m²;cantabria
2.000 €/mes;Piso en Centro-Puertochico;/alquilar/piso-puerto_chico39003-45895446790_100500/;Puerto Chico (Santander);5 habs.;3 baños;5ª planta;¿Quién no ha deseado vivir en pleno centro de una bella y espléndida ciudad, con vistas a la bahía de santander? Rodeado de arquit...;43.4628615;-3.8014451;228 m²;cantabria
