precio;sub_descr;href;ubicacion;habitaciones;mt2;planta;otros;latitude;longitude;banios;CCAA
1.100 €/mes;Piso en calle Playa de Cotobro;/alquilar/piso-cotobro18697-35058450668_100500/;Cotobro (Almuñécar);2 habs.;130 m²;1ª planta;"Alquiler de temporadas
Costa tropical de granada 
Dsiponible: todo julio

El precio anunciado no corresponde a los meses veraniego...";36.7330795;-3.7127259;;granada
600 €/mes;Estudio en calle Playa de San Cristobal, Edificio Chinasol, nº 20;/alquilar/estudio-almunecar_casco_urbano-40868272200_100500/;Casco Urbano (Almuñécar);;37 m²;;"Alquiler de temporadas.
Dsiponible: todo julio
Precio anunciado no corresponde a los meses veraniegos ( consultar precio)
Precioso...";36.7341;-3.70261;;granada
800 €/mes;Piso en Ganivet;/alquilar/piso-granada_capital_centro_catedral18010-45068025107_100500/;Centro-Catedral (Granada Capital);2 habs.;82 m²;4ª planta;Piso en el centro de granada zona plaza nueva, piso en un cuarta planta con ascensor, en pleno centro de granada, cerca de plaza n...;37.176318063;-3.596760272;1 baño;granada
1.100 €/mes;Piso en Paseo del Altillo;/alquilar/piso-almunecar_casco_urbano-35047832527_100500/;Casco Urbano (Almuñécar);3 habs.;110 m²;4ª planta;"Dsiponible: todo julio
El precio anunciado no corresponde a los meses de verano(consultar precio)
El precio anunciado no correspon...";36.7311348;-3.69085;3 baños;granada
550 €/mes;Piso en calle Navarra;/alquilar/piso-zaidin_vergeles18007-961383142_501374/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);2 habs.;55 m²;7ª planta;"Ref.- 03755
Disponible, listo para entrar en septiembre (contrato de 10 meses). Piso amueblado en zona zaidin-vergeles, a un paso ...";37.1597359;-3.599214;1 baño;granada
500 €/mes;Piso en Plaza del Doctor Álvarez;/alquilar/piso-cotobro18690-36682984095_100500/;Cotobro (Almuñécar);1 hab.;50 m²;4ª planta;"Costa tropical de granada, alquiler de temporadas.
Alquiler de temporada. Curso escolar
 Disponible: de septiembre hasta junio.
Ap...";36.7359997;-3.6917581;;granada
1.100 €/mes;Piso en calle de Trajano, 4;/alquilar/piso-granada_capital_centro_catedral-37576220432_991011/;Centro-Catedral (Granada Capital);3 habs.;135 m²;1ª planta;Vivienda espectacular de 3 habitaciones grandes con armarios empotrados, 2 baños (uno de ellos en suite) salón y cocina independie...;37.17459387025942;-3.6062417923336128;2 baños;granada
500 €/mes;Apartamento en calle Guadalajara, 3;/alquilar/apartamento-granada_capital_centro_catedral18002-45071852213_100500/;Centro-Catedral (Granada Capital);1 hab.;44 m²;1ª planta;Apartamento en alquiler amueblado, ubicado en el centro de granada, en la calle guadalajara, junto a la plaza trinidad y la plaza ...;37.1764;-3.60312;1 baño;granada
750 €/mes;Apartamento en Paseo de Andrés Segovia;/alquilar/apartamento-la_herradura_distrito-40094644543_173200/;La Herradura (Almuñécar);2 habs.;72 m²;Bajo;Inmobiliaria grupo iris alquila apartamento en el residencial rosa náutica situado en un espectacular rinconcito de la bahía de la...;36.735942335;-3.744836111;2 baños;granada
550 €/mes;Apartamento en calle del Zargal;/alquilar/apartamento-cenes_de_la_vega_centro_urbano-10042556724_100500/;Cenes de La Vega;1 hab.;40 m²;1ª planta;"Cenes de la vega no es solo un lugar para vivir; es un portal a un estilo de vida vibrante y lleno de posibilidades. Aquí, la mode...";37.157793811;-3.531889844;1 baño;granada
