precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;CCAA
4.025€;2 dormitorio, Barcelona 08002 1ES61207-;https://rd.clk.thribee.com/id.ZI141x916r13/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.21477trovit-web-7f7dc96976-wlj2z668c29b164f58/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.barcelona%20provincia/type.2/page.69/cookieid.1020104668c29b164bd79.38270981/pos.1/;08002, Barcelona, Provincia de Barcelona;2  habitaciones;3  baños;-;TRV61207---. Apartamento entero de 2 dormitorios en Barcelona...;Hace +30 días;Listanza;Barcelona
1.150€;2 dormitorio, Barcelona 08004 1ES62899-;https://rd.clk.thribee.com/id.aE1-1o1Zt1M/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.21477trovit-web-7f7dc96976-wlj2z668c29b164f58/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.barcelona%20provincia/type.2/page.69/cookieid.1020104668c29b164bd79.38270981/pos.2/;08004, Barcelona, Provincia de Barcelona;2  habitaciones;2  baños;-;TRV62899---. Apartamento entero de 2 dormitorios en Barcelona...;Hace +30 días;Listanza;Barcelona
1.650€;2 dormitorio, Barcelona 08037 1ES77880-;https://rd.clk.thribee.com/id.a_qy181q1K1G/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.21477trovit-web-7f7dc96976-wlj2z668c29b164f58/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.barcelona%20provincia/type.2/page.69/cookieid.1020104668c29b164bd79.38270981/pos.3/;08037, Barcelona, Provincia de Barcelona;2  habitaciones;1  baños;-;TRV77880---. Apartamento entero de 2 dormitorios en Barcelona...;Hace 14 días;Listanza;Barcelona
470€;Habitación luminosa en piso compartido en El Raval, Barcelona;https://rd.clk.thribee.com/id.e1n1w111FTX17/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.21477trovit-web-7f7dc96976-wlj2z668c29b164f58/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.barcelona%20provincia/type.2/page.69/cookieid.1020104668c29b164bd79.38270981/pos.4/;25215, Provincia de Barcelona;3  habitaciones;-;70  m²;...de restaurantes y tiendas exclusivas, el Raval es el lugar perfecto para cualquier persona que quiera experimentar la emoción de Barcelona...;Hace 21 días;Rentola;Barcelona
8.061€;Piso en Alquiler en Barcelona;https://rd.clk.thribee.com/id.bi1AQPO121Z/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.21477trovit-web-7f7dc96976-wlj2z668c29b164f58/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.barcelona%20provincia/type.2/page.69/cookieid.1020104668c29b164bd79.38270981/pos.5/;08017, Vallvidrera, el Tibidabo i les Planes, Sarrià - Sant Gervasi, Barcelona, Provincia de Barcelona;4  habitaciones;4  baños;215  m²;Piso en la zona alta de Barcelona. Con más de 17.000? M2 de comunidad con piscinas, pistas de pádel, zonas ajardinadas y zonas infantiles...;Hace 2 días;Vadevender;Barcelona
1.800€;Apartamento de 2 dormitorios en alquiler en Ciutat Vella, Barcelona;https://rd.clk.thribee.com/id.c1-A_1h2q14/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.21477trovit-web-7f7dc96976-wlj2z668c29b164f58/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.barcelona%20provincia/type.2/page.69/cookieid.1020104668c29b164bd79.38270981/pos.6/;08001, Provincia de Barcelona;2  habitaciones;-;127  m²;...Barcelona. Es soleado y céntrico: todos los elementos de una casa fantástica. Es perfecto para profesionales, posgraduados o familias...;Hace 21 días;Rentola;Barcelona
1.890€;2 dormitorio, Barcelona 08001 1ES77927-;https://rd.clk.thribee.com/id.h1Z1q1li51I15/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.21477trovit-web-7f7dc96976-wlj2z668c29b164f58/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.barcelona%20provincia/type.2/page.69/cookieid.1020104668c29b164bd79.38270981/pos.7/;08001, Barcelona, Provincia de Barcelona;2  habitaciones;1  baños;-;TRV77927---. Apartamento entero de 2 dormitorios en Barcelona...;Hace 14 días;Listanza;Barcelona
4.517€;4 dormitorio, Barcelona 08015 1ES62636-;https://rd.clk.thribee.com/id.1S1l9S8sQ1E/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.21477trovit-web-7f7dc96976-wlj2z668c29b164f58/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.barcelona%20provincia/type.2/page.69/cookieid.1020104668c29b164bd79.38270981/pos.8/;08015, Barcelona, Provincia de Barcelona;4  habitaciones;2  baños;-;TRV62636---. Piso entero de 4 habitaciones en barcelona...;Hace +30 días;Listanza;Barcelona
1.640€;Furnished studio apartment for rent mid term in Barcelona;https://rd.clk.thribee.com/id.1Tu1Rey1C11F/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.21477trovit-web-7f7dc96976-wlj2z668c29b164f58/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.barcelona%20provincia/type.2/page.69/cookieid.1020104668c29b164bd79.38270981/pos.9/;08002, Provincia de Barcelona;1  habitaciones;1  baños;50  m²;...Many local bars and restaurants serve the best Mediterranean and Catalan cuisine, giving you a real insight into authentic life in Barcelona...;Hace 21 días;Rentola;Barcelona
1.985€;Carrer de Sant Bertran, Barcelona - Amsterdam Apartments for Rent;https://rd.clk.thribee.com/id.1s8F151e1pY10/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.21477trovit-web-7f7dc96976-wlj2z668c29b164f58/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.barcelona%20provincia/type.2/page.69/cookieid.1020104668c29b164bd79.38270981/pos.10/;08001, Provincia de Barcelona;2  habitaciones;-;753  m²;Apartment very well located (next to the Rambla and the Port). (Available From) Modern and quiet flat in the heart of Barcelona city centre...;Hace 4 días;Rentola;Barcelona
