precio;sub_descr;href;ubicacion;habitaciones;banios;planta;otros;latitude;longitude;mt2;CCAA
3.200 €/mes;;/alquilar/piso-laredo_centro39770-43403460022_106000/;Centro (Laredo);2 habs.;2 baños;2ª planta;"¡Bonito apartamento en el centro de laredo y a escasos metros de la paya salvé!

Un apartamento moderno y funcional. Cuenta con do...";43.410932303;-3.414800789;;cantabria
850 €/mes;;/alquilar/piso-numancia_san_fernando39008-44232159102_103800/;Numancia-San Fernando (Santander);3 habs.;2 baños;4ª planta;Cerca del hospital marqués de valdecilla, c/alta, alve alquila estupendo piso grande y espacioso,distribuido en 3 habitaciones, am...;43.4590262;-3.8170499;110 m²;cantabria
750 €/mes;;/alquilar/piso-los_castros39007-42571190685_101800/;Los Castros (Santander);2 habs.;1 baño;;Piso reformado en el grupo san francisco compuesto por 2 habitaciones, salón, cocina equipada y baño, calefacción individual, exte...;43.469097203;-3.795158709;55 m²;cantabria
850 €/mes;;/alquilar/piso-santander_centro_ayuntamiento39001-45011376555_108900/;Centro-Ayuntamiento (Santander);2 habs.;1 baño;1ª planta;Distrito inmobiliario alquila de septiembre a junio en pleno centro de santander en calle peatonal, este luminoso piso.distribuido...;43.4622605;-3.813224;75 m²;cantabria
2.300 €/mes;;/alquilar/piso-puerto_chico39004-45076921817_108900/;Puerto Chico (Santander);2 habs.;2 baños;1ª planta;Alquiler vacacional por quincenas. Distrito inmobiliario alquila piso en reina victoria para máximo de 4 personas.está distribuido...;43.4636181;-3.7900736;70 m²;cantabria
875 €/mes;Ático en calle de Velázquez, 5;/alquilar/atico-brazomar39700-44213112358_100500/;Brazomar (Castro Urdiales);2 habs.;1 baño;;"Precioso atico en castro-urdiales.

A 5 minutos de la playa de brazomar.

Zona residencial muy tranquila

Muy bien situado, próxim...";43.3729;-3.21692;72 m²;cantabria
1.900 €/mes;;/alquilar/piso-brazomar39700-45022295062_100500/;Brazomar (Castro Urdiales);2 habs.;1 baño;1ª planta;"Se alquila por temporada vivienda a 200m de la playa de brazomar.
Julio: 
Mensual 2.000€
Quincena 1.300€ 
- capacidad máxima 4 per...";43.373526034;-3.214615513;70 m²;cantabria
590 €/mes;;/alquilar/estudio-puerto_chico39003-37586330509_523562/;Puerto Chico (Santander);1 hab.;1 baño;;"Se alquila estudio con encanto en pleno centro septiembre-junio. Excelente ubicación 

En el centro de la ciudad, en una de las me...";43.4632221;-3.803542;33 m²;cantabria
950 €/mes;Piso en calle de la Rúa, 26;/alquilar/piso-castro_urdiales_centro-45035818828_100500/;Centro (Castro Urdiales);2 habs.;1 baño;2ª planta;En alquiler por temporadas, piso en el centro de castro urdiales, ubicado junto a la playa de ostende, puerto, iglesia de santa ma...;43.385;-3.21708;75 m²;cantabria
860 €/mes;;/alquilar/piso-santander_la_pereda39012-44237993900_100500/;La Pereda (Santander);2 habs.;2 baños;3ª planta;"Solo alquiler temporal, desde el 1 de septiembre de 2024 hasta el 30 de junio de 2025.

Piso nuevo, bien amueblado y equipado.
Con...";43.4754017;-3.803418;102 m²;cantabria
1.995 €/mes;;/alquilar/piso-puerto_chico39004-45092874591_100500/;Puerto Chico (Santander);4 habs.;2 baños;2ª planta;Propiedad de lujo, totalmente amueblada que invita a entrar para comenzar a vivirla y disfrutar del privilegio que supone encontra...;43.46492;-3.7904089;147 m²;cantabria
1.600 €/mes;;/alquilar/duplex-santona_centro_urbano-45885783344_100500/;Santoña;2 habs.;2 baños;2ª planta;Alquiler vacacional de este espectacular dúplex de estilo moderno en santoña, completamente amueblado y equipado con todo lo neces...;43.4442455;-3.4571276;98 m²;cantabria
1.350 €/mes;;/alquilar/piso-zona_playa-44182025605_108900/;Zona Playa (Laredo);2 habs.;1 baño;3ª planta;"Piso de dos habitaciones en alquiler julio y plaza de garaje en laredo 

Piso en alquiler quincena julio y a unos pasos del paseo ...";43.415057026;-3.43907069;84 m²;cantabria
980 €/mes;Piso en calle del Poeta Gerardo Diego, 1;/alquilar/piso-el_alisal_cazona39011-45877109592_100500/;El Alisal-Cazoña (Santander);3 habs.;2 baños;7ª planta;"Estupendo piso en alquiler en la calle gerardo diego.
 
 La vivienda se localiza en un entorno residencial muy tranquilo, dotado d...";43.4575;-3.84138;125 m²;cantabria
150 €/día;Piso en calle de la Bajada al Puerto, 9;/alquilar/piso-suances_centro_urbano-45877711965_511222/;Suances;2 habs.;1 baño;4ª planta;Buscas una ubicación perfecta para disfrutar de tus días de vacaciones? Desconecta con las mejores vistas en nuestro piso de bajad...;43.432247;-4.0381427;90 m²;cantabria
1.900 €/mes;Piso en calle de Peredo, 10;/alquilar/piso-noja_centro-45004817050_523850/;Centro (Noja);2 habs.;1 baño;Bajo;Alquilo piso de 70 metros tiene 2 dormitorios, salón, cocina y baño. Balcón, exterior, soleado y luminoso, un segundo piso sin asc...;43.481564;-3.5246928;76 m²;cantabria
2.200 €/mes;;/alquilar/piso-santander_el_sardinero39005-45881103768_108500/;El Sardinero (Santander);4 habs.;4 baños;;Tu nave mi nave alquila para fijo excelente piso semiamueblado de 147 m² en el sardinero. Edificio emblemático a 200 m. De la segu...;43.474310448;-3.788875766;165 m²;cantabria
A consultar;;/alquilar/apartamento-zona_playa-42524894207_501237/;Zona Playa (Laredo);2 habs.;1 baño;5ª planta;"Se alquila agosto quincena o mes completo
Residencia privada con parking y jardin comunitario en la zona de carlos v de laredo, a ...";43.408614574;-3.43065803;60 m²;cantabria
1.200 €/mes;;/alquilar/piso-laredo_centro39770-45840913133_520884/;Centro (Laredo);2 habs.;1 baño;3ª planta;Estupendo piso en zona tranquila cercana a la zona centro de laredo y a la vez también  cercano a la playa. Tiene 2 habitaciones, ...;43.409167672;-3.418893531;67 m²;cantabria
700 €/mes;;/alquilar/piso-santander_el_sardinero39005-15847653216_100500/;El Sardinero (Santander);2 habs.;1 baño;3ª planta;"Magnífico piso de septiembre a junio para estudiantes o profesionales

Fabulosa vivienda en una de las mejores zonas de santander....";43.474978231;-3.78876769;85 m²;cantabria
850 €/mes;;/alquilar/piso-castilla_hermida39002-45051803901_990805/;Castilla-Hermida (Santander);3 habs.;2 baños;2ª planta;No fijo se alquila para fijo. Ideal para personal desplazado por trabajo o estudios, se alquila por periodos inferiores a 11 meses...;43.4583862;-3.8101652;115 m²;cantabria
3.000 €/mes;;/alquilar/piso-laredo_centro_urbano-25010887808_108500/;Centro (Laredo);1 hab.;1 baño;;Desde inmobiliaria uranga os presentamos este piso en el centro de laredo. Inmueble muy bien situado en la villa, a escasos 300 me...;43.412424571;-3.412766644;58 m²;cantabria
900 €/mes;Piso en calle de San Fernando, 84;/alquilar/piso-santander_cuatro_caminos39010-42564622198_109300/;Cuatro Caminos (Santander);2 habs.;2 baños;3ª planta;En el corazón de santander, te presentamos este espectacular piso en alquiler con todas las comodidades que puedas imaginar. Con d...;43.4589485;-3.8259168;101 m²;cantabria
850 €/mes;;/alquilar/piso-santander_centro_ayuntamiento39001-45015124003_993981/;Centro-Ayuntamiento (Santander);2 habs.;2 baños;1ª planta;"Alquiler temporal. No se alquila para fijo. Curso escolar o varios meses por trabajo.  
Piso próximo al ayuntamiento. Amueblado y ...";43.463923;-3.8106078;81 m²;cantabria
800 €/sem;;/alquilar/piso-noja_helgueras-45062744058_510167/;Helgueras (Noja);2 habs.;1 baño;4ª planta;Se alquila ático con ascensor y garaje particular, cercano a la playa y con espectaculares vistas al mar en noja, en la zona de la...;43.470240005;-3.508333448;65 m²;cantabria
850 €/mes;Piso en calle de Sixto Córdoba, 7;/alquilar/piso-santander_monte39012-44204083798_109300/;Monte (Santander);2 habs.;2 baños;6ª planta;encantador piso en alquiler temporal (de septiembre a junio) en la exclusiva zona de monte (s-20), en santander.  luminoso inmueb...;43.4676829;-3.8278095;86 m²;cantabria
1.000 €/mes;;/alquilar/piso-santander_centro_ayuntamiento39003-45056905684_103800/;Centro-Ayuntamiento (Santander);2 habs.;2 baños;;"¡Se alquila piso para fijo en el centro de santander!

Disfruta de vivir en una de las zonas más céntricas y emblemáticas de santa...";43.4626722;-3.8034503;75 m²;cantabria
800 €/mes;;/alquilar/piso-penacastillo_nueva_montana39011-45002039123_100500/;Peñacastillo-Nueva Montaña (Santander);2 habs.;1 baño;2ª planta;"Buscas piso en alquiler para fijo???
Ética inmobiliaria te ofrece este acogedor piso de 55 metros cuadrados. Cuenta con dos dormit...";43.4454813;-3.8511064;55 m²;cantabria
600 €/sem;;/alquilar/piso-los_castros39005-42586954714_103800/;Los Castros (Santander);2 habs.;1 baño;5ª planta;"Solo para temporada de verano. Precio por semana.

Bonito piso en alquiler para verano, con capacidad para 6 personas, cercano a l...";43.4691415;-3.7955801;47 m²;cantabria
400 €/mes;;/alquilar/estudio-laredo_el_puntal-45905405172_100500/;El Puntal (Laredo);;1 baño;;Se alquila solo para la temporada de invierno. Estudio en la zona del puntal de laredo con  un salón-dormitorios, cocina y baño. D...;43.425366613;-3.448351949;27 m²;cantabria
850 €/mes;;/alquilar/piso-castilla_hermida39009-45897410395_102200/;Castilla-Hermida (Santander);3 habs.;1 baño;1ª planta;Estupendo piso de alquiler temporal en la calle castilla de tres dormitorios, salón, cocina y baño. Dispone de ascensor a cota cer...;43.4545393;-3.8209428;72 m²;cantabria
1.700 €/mes;;/alquilar/piso-trengandin-44230889431_102200/;Trengandín (Noja);2 habs.;1 baño;3ª planta;Alquiler vacacional de junio a septiembre nuevo - bonita vivienda en noja con piscina y zonas verdes, cerca de la playa de trengan...;43.477075182;-3.521198814;60 m²;cantabria
820 €/mes;;/alquilar/duplex-liencres-45869089018_993981/;Liencres (Piélagos);3 habs.;2 baños;1ª planta;"No dude en visitar este céntrico duplex de 100 m² aprox, distribuido en:
Planta baja: pasillo. Salón - comedor. Moderna cocina. Do...";43.444090098;-3.93495845;100 m²;cantabria
1.390 €/mes;;/alquilar/duplex-santander_general_davila39003-31676829474_103800/;General Dávila (Santander);3 habs.;2 baños;1ª planta;"Se alquila para temporada escolar a partir de septiembre. De septiembre a junio.

Ec inmobiliaria te ofrece este fantástico y cént...";43.4652909;-3.7997761;120 m²;cantabria
1.000 €/mes;;/alquilar/piso-playa_ostende39700-45916036426_100500/;Playa Ostende (Castro Urdiales);2 habs.;1 baño;;"Inmobiliaria ubicate alquila a dos minutos de la playa de ostende!
*** por quincenas agosto 1000 euros
*** mes de agosto completo ...";43.390734289;-3.224376948;70 m²;cantabria
1.500 €/mes;;/alquilar/duplex-cotolino39700-43402313260_100500/;Cotolino (Castro Urdiales);3 habs.;3 baños;4ª planta;"Alquiler de larga duración
Ático dúplex en excelente ubicación de cotolino, a tan solo 50 metros de la playa de brazomar, muy cerc...";43.3676199;-3.2121912;180 m²;cantabria
800 €/mes;Piso en calle de Calderón de la Barca, 14;/alquilar/piso-castilla_hermida39002-22558468906_100500/;Castilla-Hermida (Santander);2 habs.;1 baño;3ª planta;Piso disponible en septiembre en alquiler para larga estancia, en una de las calles más céntricas de santander, calderón de la bar...;43.459;-3.80929;70 m²;cantabria
2.400 €/mes;;/alquilar/piso-cotolino39709-45097793429_100500/;Cotolino (Castro Urdiales);3 habs.;2 baños;;"Se alquila por temporadas vivienda a 200m de la playa de brazomar.
Julio:

 Quincena 2.400€ 
 Semana 1.400€
Agosto:
2ª quincena 2....";43.372289359;-3.205616208;95 m²;cantabria
800 €/mes;;/alquilar/piso-cotolino39709-45856697110_100500/;Cotolino (Castro Urdiales);2 habs.;2 baños;2ª planta;"Inmobiliaria ubicate alquila para larga temporada a partir de agosto!
Zona cotolino
Piso completamente amueblado, consta de salón ...";43.37156732;-3.203018793;75 m²;cantabria
1.800 €/mes;Piso en calle Marelino Sainz Sautuola, nº 12;/alquilar/piso-puerto_chico39004-45858956020_427100/;Puerto Chico (Santander);1 hab.;1 baño;1ª planta;"Disponible alquiler mes de agosto:
Este estudio situado en el interior de uno de los edificios más emblemáticos, junto al arco del...";43.4635587455899;-3.8036914917830837;54 m²;cantabria
2.100 €/mes;Piso en Avenida de la Libertad, 1;/alquilar/piso-zona_playa-43351913635_515274/;Zona Playa (Laredo);2 habs.;1 baño;Bajo;Os presentamos este estupendo piso con inmejorables vistas al mar y a la montaña, está situado en una de las zonas más solicitadas...;43.409416;-3.4303517;70 m²;cantabria
2.400 €/mes;Piso en calle de Gutiérrez Rada, 15;/alquilar/piso-laredo_centro39770-45093022677_515274/;Centro (Laredo);2 habs.;1 baño;1ª planta;Eprimera línea de la playa salvé de laredo se encuentra este impresionante piso recién reformado que presentamos hoy desde pisos ...;43.412;-3.41564;80 m²;cantabria
1.800 €/mes;Piso en Avenida de Francia, 70;/alquilar/piso-zona_playa-25908425166_515274/;Zona Playa (Laredo);2 habs.;1 baño;4ª planta;Bonito piso en alquiler vacacional a escasos metros de la playa en residencia privada. El piso cuenta con 2 habitaciones, baño, co...;43.41798749951866;-3.4422633203704356;60 m²;cantabria
900 €/mes;Piso en Avenida de los Derechos Humanos, 40;/alquilar/piso-zona_playa-25851123426_515274/;Zona Playa (Laredo);2 habs.;2 baños;2ª planta;Piso para alquiler vacacional en estupenda residencia privada a pocos metros de la playa. El piso cuenta con dos dormitorios, ampl...;43.4164;-3.4435;70 m²;cantabria
3.200 €/mes;;/alquilar/piso-laredo_centro39770-45857087765_515274/;Centro (Laredo);2 habs.;1 baño;3ª planta;Estupendo piso en una de las zonas de laredo con más encanto, las casas de pescadores, con las vistas más despejadas a la bahía y ...;43.412278552;-3.416171717;65 m²;cantabria
2.500 €/mes;;/alquilar/piso-laredo_centro39770-41733237227_515274/;Centro (Laredo);2 habs.;1 baño;2ª planta;Si buscas un piso de alquiler en el centro de laredo a tan solos unos minutos de la playa salvé y del puerto deportivo y cerquita...;43.4117967;-3.408122;45 m²;cantabria
1.500 €/mes;;/alquilar/piso-los_castros39005-35051145353_100500/;Los Castros (Santander);2 habs.;1 baño;Bajo;En el sardinero de santander, a escasos 5 minutos de las playas se encuentra este fabuloso apartamento que se alquila en temporada...;43.4697088;-3.7915461;61 m²;cantabria
1.900 €/mes;Piso en calle de la República de Colombia, 10;/alquilar/piso-zona_playa-31740166937_515274/;Zona Playa (Laredo);2 habs.;1 baño;11ª planta;Estupendo piso donde poder pasar unas estupendas vacaciones de verano a escasos metros de la playa salvé, en residencia privada co...;43.410659623409124;-3.4357415514077276;62 m²;cantabria
2.500 €/mes;;/alquilar/chalet-somo-32522585692_108500/;Somo (Ribamontán Al Mar);3 habs.;3 baños;;Oportunidad maravillosa para disfrutar de esta casa de ensueño en la cuna del surf cántabra. Está disponible solo julio. La semana...;43.454468387;-3.739338395;220 m²;cantabria
800 €/mes;Piso en calle de Benidorm, 7;/alquilar/piso-los_castros39005-45915427609_427100/;Los Castros (Santander);3 habs.;1 baño;7ª planta;Luminoso y acogedor, frente a las universidades. **alquiler temporal desde septiembre hasta junio**, séptima altura, con fantástic...;43.470097;-3.7939267;71 m²;cantabria
1.800 €/mes;Piso en calle del Tinaco, 1;/alquilar/piso-laredo_centro-7554943739_515274/;Centro (Laredo);1 hab.;1 baño;1ª planta;Estupendo piso en alquiler en el casco antiguo de laredo donde poder disfrutar de tus vacaciones de verano en el corazón de la vil...;43.411386557183164;-3.4101485489631624;55 m²;cantabria
2.500 €/mes;Piso en Avenida de Francia, 95;/alquilar/piso-laredo_el_puntal-30091518740_515274/;El Puntal (Laredo);3 habs.;2 baños;7ª planta;"Estupendo piso en alquiler para disfrutar de tus vacaciones de verano en 1ª línea de playa y ¡¡Con unas vistas inmejorables!!

El ...";43.4244;-3.44668;120 m²;cantabria
1.400 €/mes;Piso en Avenida de Francia, 46;/alquilar/piso-zona_playa-33400351165_515274/;Zona Playa (Laredo);2 habs.;1 baño;3ª planta;Piso en alquiler en laredo en residencia privada a escasos metros de la playa salvé, ¡Dónde poder disfrutar de unas estupendas vac...;43.413966773684415;-3.4373315694606195;70 m²;cantabria
2.100 €/mes;Piso en Plaza de Carlos V, 1;/alquilar/piso-carlos_v-95086514565_515274/;Carlos V (Laredo);2 habs.;1 baño;14ª planta;Ubicado a escasos dos minutos a pie de la playa y en residencia privada con zona de parking comunitario, juegos infantiles, pista...;43.40870799197848;-3.428222652479647;60 m²;cantabria
1.200 €/mes;Ático en calle de Emilia Pardo Bazán, 4;/alquilar/atico-puerto_chico39003-35011141220_427100/;Puerto Chico (Santander);1 hab.;2 baños;;"Disponible a partir de 1 septiembre.
Acogedor  piso exterior, bohemio, muy luminoso con vistas 360º para ver los atardeceres más i...";43.46341479437432;-3.8012301079045963;82 m²;cantabria
1.550 €/mes;Piso en Avenida Enrique Mowinkel, nº 56;/alquilar/piso-zona_playa-22561728302_515274/;Zona Playa (Laredo);2 habs.;1 baño;2ª planta;Se alquila estupendo piso en primera línea de playa!! Tiene dos habitaciones, baño, salón comedor con salida a una estupenda terra...;43.416461750848896;-3.439271930474318;60 m²;cantabria
