precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
495.000 €;Piso en calle de Clara del Rey;/comprar/piso-chamartin_prosperidad28002-34254702259_524350/;Prosperidad (Distrito Chamartín. Madrid Capital);3 habs.;2 baños;99 m²;2ª planta;"Oasis House les ofrece este magnifico piso a reformar con terraza y posibilidad de reforma en el barrio de Prosperidad.
La vivienda se puede distribuir en un gran salón comedor con salida a la terraza y abierto cocina equipada con mobiliario de alta calidad y electrodomésticos.
La zona de descanso con tres dormitorios, el principal en suite, y un cuarto de baño completo que da servicio a los dormitorios familiares y visitas.
Todo ello por un precio final de 585.000€.
La finca tiene calefacción y agua caliente centrales y portero físico.
Las fotos corresponden a la posible reforma, no siendo ahora el estado actual.

En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de:
- asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos
- servicio de reformas y de proyectos de interiorismo
- profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona!
- Certificados de eficiencia energética
- Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad
- Experiencia, eficacia y seriedad
Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo expreso de los propietarios. Pueden verlos accediendo a nuestra web www.theoasishouse. es";40,4452259;-3,668023
2.250.000 €;Piso en Goya;/comprar/piso-goya28009-35080869728_524350/;Goya (Distrito Salamanca. Madrid Capital);3 habs.;4 baños;190 m²;3ª planta;"Oasis House les ofrece este espectacular piso, reforma a estrenar, en uno de los mejores barrios de Madrid, en Goya.
La vivienda se distribuye en un amplio salón comedor, con una luz impresionante, que da salida a una terraza, con una cocina independiente, completamente amueblada y electrodomésticos de alta gama y lavadero independiente. Aseo de cortesía.
La zona de descanso se compone de tres dormitorios en suite y el principal con vestidor.
Tiene aire acondicionado por conductos y la calefacción y agua caliente por aerotermia.
La finca tiene portero físico y ascensor.
En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de:
- asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos
- servicio de reformas y de proyectos de interiorismo
- profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona
- Certificados de eficiencia energética
- Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad
- Experiencia, eficacia y seriedad
Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo expreso de los propietarios. Pueden verlos accediendo a nuestra web www.theoasishouse.es";40,4243232;-3,6761951
950.000 €;Piso en Paseo de la Castellana;/comprar/piso-castillejos28046-37577067756_524350/;Castillejos (Distrito Tetuán. Madrid Capital);3 habs.;3 baños;127 m²;1ª planta;"Oasis House les ofrece este inmueble único, piso totalmente reformado en la primera planta exterior del Paseo de la Castellana, que cuenta con 2 balcones con vistas, situado en el céntrico barrio de Castellana, al lado del Estadio Santiago Bernabéu. 
Fue diseñado por el reconocido arquitecto Antonio Lamela, que también remodeló este estadio e impulsó varios proyectos de ciudades deportivas. Es una vivienda que cuenta con techos altos y que consta de 3 habitaciones, 3 baños completos, 2 de ellos en suite, uno de ellos con tanto bañera como ducha y los restantes con ducha, salón, comedor y cocina americana equipada. 
El piso cuenta con acabados de madera natural, luces LED de ambiente y juegos de luces que permitirán mantener una excelente iluminación de la vivienda. 
Se entrega totalmente amueblado. 
Tanto la entrada como el portal cuentan con elevadores de silla de ruedas.
 
En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de:
- asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos
- servicio de reformas y de proyectos de interiorismo
- profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona!
- Certificados de eficiencia energética
- Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad
- Experiencia, eficacia y seriedad";40,457793;-3,6906761
265.000 €;Piso en Avenida Donostiarra;/comprar/piso-concepcion-37543076896_440000/;Concepción (Distrito Ciudad Lineal. Madrid Capital);2 habs.;1 baño;70 m²;8ª planta;"Estupenda vivienda para entrar a vivir en ciudad lineal, barrio de la concepción.
Es una octava planta, en finca con ascensor y po...";40.435219;-3.6588623
197.000 €;Piso en Paseo de Federico García Lorca;/comprar/piso-casco_historico_de_vallecas28031-35079880310_108900/;Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital);3 habs.;1 baño;93 m²;;Piso de 93 m² en una zona tranquila con amplio salón-comedor con acceso a una terraza con vistas al paseo federico garcia lorca y ...;40.3792661;-3.6215039
270.000 €;Piso en calle de la Virgen de la Fuencisla, 23;/comprar/piso-concepcion-33369848545_101000/;Concepción (Distrito Ciudad Lineal. Madrid Capital);4 habs.;1 baño;90 m²;;Persona de contacto fernando- vivienda exterior, según se entra se encuentra un recibidor y a continuación se accede a un pasillo ...;40.4384475;-3.6500419
160.000 €;Piso en calle de Ramón Luján;/comprar/piso-almendrales28026-35073179396_100500/;Almendrales (Distrito Usera. Madrid Capital);2 habs.;1 baño;60 m²;4ª planta;"Grupo inmobiliario miracasa ofrece a la venta piso en calle ramon lujan:

Se trata de una 4ª planta con ascensor, compuesta de 2 d...";40.383802;-3.704088
160.000 €;Piso en Avenida del Doctor Federico Rubio y Galí;/comprar/piso-bellas_vistas28039-37584528692_527060/;Bellas Vistas (Distrito Tetuán. Madrid Capital);2 habs.;1 baño;37 m²;1ª planta;Esta buscando vivir con tranquilidad, tenemos la solución , estupenda vivienda en barrio de bellas vistas específicamente en la av...;40.451028;-3.7094439
283.900 €;Piso en Avenida de la Gavia;/comprar/piso-ensanche_de_vallecas_valdecarros28051-37588158573_100500/;Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital);3 habs.;2 baños;100 m²;Bajo;"Inmobiliaria vohome propiedades la gavia vende piso en ensanche de vallecas. 

Amplia vivienda de 4 dormitorios reformada a 3, sal...";40.367440536;-3.616677207
255.000 €;Piso en calle de Telémaco;/comprar/piso-concepcion-38335581450_100500/;Concepción (Distrito Ciudad Lineal. Madrid Capital);2 habs.;1 baño;69 m²;4ª planta;"Vivienda completamente exterior de esquina, orientación sur este.

Rodeado de jardines, soleado y tranquilo.

Cuenta con dos dormi...";40.4481356;-3.6450666
