precio;sub_descr;href;ubicacion;banios;mt2;otros;latitude;longitude;habitaciones;planta
299.000 €;Piso en Mirasierra-Arroyo del Fresno;/comprar/piso-mirasierra_arroyo_del_fresno28035-37552321649_100200/;Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital);;63 m²;Tecnocasa estudio arroyofresno, la agencia inmobiliaria del grupo tecnocasa para arroyo del fresno y mirasierra, vende piso reform...;40.4856589;-3.726132;2 habs.;
128.000 €;Piso en Comillas;/comprar/piso-carabanchel_comillas28019-30865173009_100200/;Comillas (Distrito Carabanchel. Madrid Capital);1 baño;51 m²;Agencia inmobiliaria de madrid zona antonio lopez - comillas oficina tecnocasa se vende piso a escasos minutos del parque de madri...;40.3934409;-3.7093385;1 hab.;1ª planta
1.900.000 €;Piso en Castellana;/comprar/piso-salamanca_castellana28006-945856909381506_109700/;Castellana (Distrito Salamanca. Madrid Capital);2 baños;170 m²;Espectacular piso de diseño en barrio salamanca a 1 paso de serrano. Impecable con 1 plaza de garaje. Salón de 50 m² con chimenea ...;40.4380916;-3.6887861;2 habs.;8ª planta
135.000 €;Piso en Las Águilas;/comprar/piso-las_aguilas28044-43428870492_100200/;Las Águilas (Distrito Latina. Madrid Capital);1 baño;84 m²;"Tecnocasa estudio san ignacio xxi - zona las aguilas - san ignacio - cuatro vientos. 'kiron (financiación hasta 100%). Vende. '
L...";40.3763086;-3.7674208;;
649.000 €;Chalet en Aravaca;/comprar/chalet-moncloa_aravaca_aravaca28023-40087177335_106000/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);3 baños;160 m²;"Emblema ofrece en venta estupendo chalet adosado en la calle fucsia (aravaca-madrid)

Actualmente está distribuido de la siguiente...";40.4501127;-3.7655819;3 habs.;
1.500.000 €;Piso en calle de Alfonso XII;/comprar/piso-jeronimos28014-28400154141_100500/;Jerónimos (Distrito Retiro. Madrid Capital);5 baños;281 m²;"Jerónimos / exclusivo piso clásico con opción de 2 plazas de parking y trastero, a un paseo del retiro 

Urbanissimo real estate g...";40.4130035;-3.6890928;8 habs.;1ª planta
829.000 €;Piso en calle de León;/comprar/piso-cortes_huertas28014-40871247589_101800/;Cortes-Huertas (Distrito Centro. Madrid Capital);3 baños;102 m²;Walter haus presenta esta propiedad excepcional, totalmente reformada en el encantador barrio de las letras. Este piso exterior se...;40.4135352;-3.6991361;3 habs.;3ª planta
145.000 €;Piso en calle de la Paloma;/comprar/piso-palomeras_sureste28018-40098085977_100500/;Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital);1 baño;65 m²;¿Quieres un piso en una zona tranquila a un buen precio? Esta es la inversión que buscabas. Ven a visitar este piso luminoso de es...;40.4079154;-3.7118203;2 habs.;1ª planta
635.000 €;Piso en Plaza de Chamberí;/comprar/piso-trafalgar28010-41703483434_108900/;Trafalgar (Distrito Chamberí. Madrid Capital);1 baño;72 m²;"Excelente piso reformado y exterior, situado en el distrito de chamberí, una de las zonas más prestigiosas de madrid.

Consta de 7...";40.436903;-3.701469;2 habs.;2ª planta
950.000 €;Piso en Paseo de la Castellana;/comprar/piso-chamartin_hispanoamerica28036-41695318603_100500/;Hispanoamérica (Distrito Chamartín. Madrid Capital);3 baños;127 m²;¡Increíble piso en venta en el paseo de la castellana! Este luminoso y reformado inmueble cuenta con dos balcones que ofrecen unas...;40.4583051;-3.6892977;3 habs.;1ª planta
800.000 €;Ático en Avenida del Machupichu;/comprar/atico-piovera28043-24183940570_511891/;Piovera (Distrito Hortaleza. Madrid Capital);2 baños;175 m²;"Vivienda con enorme terraza y grandes posibilidades de reforma 

Luminoso ático distribuido en bonito hall de entrada con pequeño ...";40.4565789;-3.6237599;2 habs.;
770.000 €;Piso en Ciudad Universitaria;/comprar/piso-ciudad_universitaria28040-28407626941_102100/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);2 baños;190 m²;Este impresionante piso de 190 metros cuadrados se encuentra en ciudad universitaria, una de las zonas más cotizadas de madrid. Co...;40.4528224;-3.733909;4 habs.;
158.000 €;Estudio en calle del El Toboso, 105;/comprar/estudio-carabanchel_san_isidro28019-3787102807_109700/;San Isidro (Distrito Carabanchel. Madrid Capital);;46 m²;V03, 1º C. Estudio en un edificio de obra nueva de 46 m2 de superficie construida y ubicado en la zona de Madrid Capital, enclavado en planta 1. Está distribuido en 1 baño . Incluye extras como ascensor, garaje.;40,3931731;-3,7350976;;
2.760.000 €;Piso en calle de Goya;/comprar/piso-goya28001-41753030038_100500/;Goya (Distrito Salamanca. Madrid Capital);4 baños;231 m²;Diza consultores les presenta este magnífico piso en un edificio señorial de 1913 en la mejor zona de madrid, completamente reform...;40.4247406;-3.6781544;3 habs.;4ª planta
480.000 €;Ático en San Isidro (Carabanchel);/comprar/atico-carabanchel_san_isidro28019-32523387604_102100/;San Isidro (Distrito Carabanchel. Madrid Capital);2 baños;117 m²;Gilmar madrid rio 913643800 ofrece en exclusiva viviendas de obra nueva  ¡Ultimas viviendas disponibles! Espectacular promoción de...;40.390880144;-3.72836577;2 habs.;
169.000 €;Piso en calle de Timoteo Domingo;/comprar/piso-ciudad_lineal_pueblo_nuevo28017-42534108341_100500/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);1 baño;55 m²;Vohome quintana, vende piso en tercera planta, de dos dormitorios, de 55m², junto a calle alcalá, pueblo nuevo distrito de ciudad ...;40.4336129;-3.6451604;2 habs.;3ª planta
2.750.000 €;Piso en Recoletos;/comprar/piso-salamanca_castellana28001-32522118617_102100/;Castellana (Distrito Salamanca. Madrid Capital);4 baños;230 m²;Espectacular vivienda en la mejor zona de recoletos, en la representativa calle villanueva a estrenar con reforma de lujo.  En fin...;40.4200811;-3.6897568;3 habs.;
500.000 €;Piso en calle de Ibiza;/comprar/piso-ibiza28009-43423098940_100500/;Ibiza (Distrito Retiro. Madrid Capital);2 baños;110 m²;**** hemic properties ***** comercializa este  piso en  semisótano  situado, en plena zona de ibiza,  para reforma integral a capr...;40.4180057;-3.6740007;3 habs.;Subsótano
175.000 €;Piso en calle Paravicinos;/comprar/piso-bellas_vistas28039-42551003470_106000/;Bellas Vistas (Distrito Tetuán. Madrid Capital);1 baño;50 m²;"Inmuebles en periodo de pujas desde el 27/03/2024 al 10/04/2024 a las 18:00
Apartamento en madrid, tetuán, con 2 habitaciones y 1 ...";40.4537043;-3.7078009;2 habs.;Bajo
559.600 €;Piso en Piovera;/comprar/piso-piovera28043-42508252393_105100/;Piovera (Distrito Hortaleza. Madrid Capital);2 baños;90 m²;"¡Llega la 5ª edición de la campaña de primavera de vivienda2!
 No pierdas la oportunidad. Consulta la web de vivienda2 y accede a ...";40.457808123;-3.624811523;2 habs.;2ª planta
1.820.000 €;Piso en El Viso;/comprar/piso-chamartin_el_viso28036-20839223003_149200/;El Viso (Distrito Chamartín. Madrid Capital);3 baños;314 m²;Única inmobiliaria chamartín (tel: 913 577 065) ofrece magnífica y espectacular vivienda de lujo en unas de las zonas más emblemát...;40.4516412;-3.6871463;5 habs.;2ª planta
2.390.000 €;Piso en calle de Villalar;/comprar/piso-recoletos28001-42517597455_100500/;Recoletos (Distrito Salamanca. Madrid Capital);5 baños;207 m²;"Diza consultores les presenta dúplex de lujo a estrenar a una manzana de plaza de la independencia. 

En un elegante edificio clás...";40.4209951;-3.6900559;4 habs.;5ª planta
369.000 €;Piso en calle de la Inmaculada Concepción;/comprar/piso-carabanchel_comillas28019-42565600155_518874/;Comillas (Distrito Carabanchel. Madrid Capital);2 baños;124 m²;Masterpiso vende piso en calle inmaculada concepción, comillas, carabanchel, madrid. 3º planta con dos ascensores,  124 m²  constr...;40.3913626;-3.7123953;4 habs.;3ª planta
195.000 €;Piso en calle de San Germán;/comprar/piso-tetuan_cuatro_caminos28020-43404007067_100200/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);1 baño;35 m²;"''agencia inmobiliaria madrid infanta mercedes - cuzco oficina tecnocasa vende piso en c/ san german.

Piso en venta en una excele...";40.4568967;-3.6994011;1 hab.;
4.200.000 €;Piso en Recoletos;/comprar/piso-recoletos28001-39229770496_149200/;Recoletos (Distrito Salamanca. Madrid Capital);5 baños;333 m²;Altura piso 2º, piso superficie total 333 m², superficie útil 333 m², hab. Individuales: 1, habitaciones dobles: 4, hab. Dobles so...;40.421677665;-3.679935455;5 habs.;2ª planta
315.000 €;Piso en Vicálvaro;/comprar/piso-valderrivas28032-42587290865_105700/;Valderrivas (Distrito Vicálvaro. Madrid Capital);2 baños;76 m²;"Globalpiso vicálvaro vende vivienda con excelente ubicación a poca distancia de metro y tren de cercanias puerta de arganda l9. 

...";40.4041291;-3.5976696;2 habs.;1ª planta
453.000 €;Piso en calle de Beire, 22;/comprar/piso-bellas_vistas28039-42523867788_362300/;Bellas Vistas (Distrito Tetuán. Madrid Capital);1 baño;90 m²;Espacios beire 22 es un edificio singular de viviendas de gran calidad en el centro de madrid, concretamente en el distrito de tet...;40.4507581707412;-3.7079670151073074;1 hab.;Bajo
790.000 €;Piso en Ciudad Jardín;/comprar/piso-chamartin_ciudad_jardin28016-41722487955_992673/;Ciudad Jardín (Distrito Chamartín. Madrid Capital);3 baños;164 m²;"Real-viv vende piso en madrid:
El piso se encuentra en el barrio residencial de ciudad jardín, en el distrito de chamartín que cue...";40.4527077;-3.666418;4 habs.;5ª planta
193.000 €;Piso en Plaza de la Rendición de Breda;/comprar/piso-abrantes28025-41676366136_106000/;Abrantes (Distrito Carabanchel. Madrid Capital);1 baño;75 m²;"¡Sin comisión de agencia!
Inmoline, 91 616 32 20 y whatsapp 663 14 34 87.- venta de un luminoso piso con un gran ventanal oscilo b...";40.377404;-3.7316817;3 habs.;5ª planta
1.760.000 €;Piso en calle de Campoamor;/comprar/piso-justicia_chueca28004-42576501704_101800/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 baños;145 m²;Walter haus presenta una oportunidad excepcional: un piso exterior con 3 dormitorios, completamente renovado, situado en una de la...;40.4261117;-3.6958549;3 habs.;3ª planta
499.000 €;Piso en Paseo de la Virgen del Puerto, 39;/comprar/piso-imperial28005-41728388201_108500/;Imperial (Distrito Arganzuela. Madrid Capital);2 baños;140 m²;Amplio y bonito piso ubicado en el barrio imperial, una de las zonas mas exclusivas y demandadas de madrid. Este impresionante pis...;40.410469206958;-3.721107129163;4 habs.;
719.000 €;Piso en Goya;/comprar/piso-goya28009-41731149671_149200/;Goya (Distrito Salamanca. Madrid Capital);2 baños;73 m²;Esta bonita y luminosa vivienda a escasos metros del retiro, recientemente reformada, se ofrece lista para entrar a vivir y se ven...;40.4236058;-3.6772068;2 habs.;2ª planta
220.000 €;Piso en Numancia;/comprar/piso-san_diego28053-43342288851_100500/;San Diego (Distrito Puente de Vallecas. Madrid Capital);1 baño;114 m²;"¡Descubre este encantador piso en vallecas, perfectamente situado y con características que te enamorarán!

Ubicado en una tranqui...";40.3950582;-3.6653338;3 habs.;2ª planta
2.500.000 €;Ático en calle de Goya;/comprar/atico-recoletos28001-38396355771_101800/;Recoletos (Distrito Salamanca. Madrid Capital);2 baños;190 m²;"^**^magnífico ático gran lujo a reformar en pleno corazón del barrio salamanca^**^
Esta es una oportunidad única para aquellos que...";40.4252381;-3.6809456;4 habs.;
175.000 €;Piso en calle Paravicinos, nº 12;/comprar/piso-bellas_vistas28039-42561390272_100500/;Bellas Vistas (Distrito Tetuán. Madrid Capital);1 baño;44 m²;"Se vende un inmueble ubicado en la calle paravicinos, madrid. 
Se trata de una vivienda interior con vistas a un patio pequeño per...";40.4545;-3.70808;2 habs.;Bajo
132.000 €;Piso en calle de Santa Juliana, 58;/comprar/piso-bellas_vistas28039-43347494333_100500/;Bellas Vistas (Distrito Tetuán. Madrid Capital);1 baño;54 m²;"Apartamento para reformar de 39 m² en venta, de 1 dormitorio situado en madrid. 

La vivienda se localiza a pocos minutos de las e...";40.4525;-3.70827;2 habs.;Bajo
3.090.000 €;Piso en Almagro;/comprar/piso-chamberi_almagro28010-40093456807_100500/;Almagro (Distrito Chamberí. Madrid Capital);2 baños;385 m²;"Magnífico piso ubicado en el cogollo de la ""milla de oro"" de almagro, una inmejorable ubicación muy próximo a la calle fortuny.

S...";40.4316814;-3.692425;4 habs.;4ª planta
530.000 €;Piso en Palos de Moguer;/comprar/piso-legazpi_barrio28045-41727098434_102100/;Legazpi (Distrito Arganzuela. Madrid Capital);2 baños;93 m²;Esta vivienda en altura es una excelente oportunidad para aquellos que buscan invertir en el mercado inmobiliario. Situada en la m...;40.385045006;-3.688603641;3 habs.;
2.950.000 €;Piso en calle de García de Paredes;/comprar/piso-chamberi_almagro28010-40884713092_101800/;Almagro (Distrito Chamberí. Madrid Capital);4 baños;281 m²;Walter haus presenta este exclusivo ático de 281 m², con dos amplias terrazas y una reforma de alta calidad. Ubicado en la 8ª plan...;40.4364734;-3.6918306;3 habs.;8ª planta
388.000 €;Piso en Palomeras Sureste, Puente de Vallecas;/comprar/piso-palomeras_sureste28031-42593083413_101000/;Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital);2 baños;108 m²;Esta moderna vivienda se encuentra ubicada en una urbanización privada, en una zona muy tranquila, cerca de todos los servicios ne...;40.3821377;-3.6306372;2 habs.;
789.000 €;Piso en Carrera San Jerónimo;/comprar/piso-sol_barrio28014-34214669123_101800/;Sol (Distrito Centro. Madrid Capital);2 baños;101 m²;Piso exterior, reformado a estrenar a cinco minutos de la puerta del sol. Se trata de una vivienda de 101 m² catastrales, distribu...;40.4165607;-3.700914;2 habs.;5ª planta
1.130.000 €;Piso en calle de Ayala;/comprar/piso-goya28006-14253648802_100100/;Goya (Distrito Salamanca. Madrid Capital);2 baños;200 m²;Situado en una finca representativa de principios de siglo en la emblemática calle ayala, nos encontramos con este fantástico piso...;40.4273883;-3.6749727;4 habs.;
199.500 €;Piso en Tetuán;/comprar/piso-bellas_vistas28039-37528020737_106000/;Bellas Vistas (Distrito Tetuán. Madrid Capital);1 baño;61 m²;"Inmuebles en periodo de pujas desde el 10/04/2024 al 24/04/2024 a las 18:00
Apartamento interior en un edificio sin ascensor con t...";40.4525267;-3.7097817;2 habs.;2ª planta
355.700 €;Piso en calle Ilusion, 22;/comprar/piso-el_canaveral-4009076470_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);2 baños;102 m²;P.3 6ºD V26. Piso en una finca de obra nueva de 102 m2 de superficie construida y emplazado en la zona de Madrid Capital, posicionado en planta 6. Está dispuesto en 2 habitaciones, 2 baños completos y terraza de 11,35 m2. Cuenta como extras ascensor, garaje y trastero.;40,404742073;-3,555921144;2 habs.;6ª planta
150.000 €;Piso en Bellas Vistas;/comprar/piso-bellas_vistas28039-36705214402_100200/;Bellas Vistas (Distrito Tetuán. Madrid Capital);1 baño;26 m²;Tecnocasa consulting cuatro caminos - 2022 s.l. Agencia inmobiliaria de madrid zona cuatro caminos-bellas vistas ofrece en venta p...;40.4501162;-3.704246;1 hab.;2ª planta
130.000 €;Piso en Amposta;/comprar/piso-san_blas_amposta-36696351145_100200/;Amposta (Distrito San Blas. Madrid Capital);1 baño;55 m²;"Tecnocasa estudio inmobiliario amposta vende piso de 55m ubicado en la c/ aguja.

Se trata de una entreplanta muy luminosa para en...";40.4268102;-3.6202686;3 habs.;
650.000 €;Piso en Cortes-Huertas;/comprar/piso-cortes_huertas28014-43374559350_109300/;Cortes-Huertas (Distrito Centro. Madrid Capital);2 baños;68 m²;"De rojas servicios inmobiliarios pone a su disposición el inmueble ubicado en la calle san agustín en el barrio de la las letras.
...";40.4131918;-3.6961966;2 habs.;
3.150.000 €;Piso en Recoletos;/comprar/piso-recoletos28001-34174230137_149200/;Recoletos (Distrito Salamanca. Madrid Capital);4 baños;232 m²;Descubre esta excepcional propiedad en una ubicación privilegiada, a pocos pasos del parque del retiro. Ubicada en la cuarta plant...;40.422134159;-3.681755235;3 habs.;4ª planta
399.000 €;Piso en Fuente del Berro;/comprar/piso-fuente_del_berro28028-39188645840_105100/;Fuente del Berro (Distrito Salamanca. Madrid Capital);1 baño;70 m²;Vivienda2 presenta fantástica vivienda  en la calle demetrio sanchez, en el barrio de fuente del berro, distrito salamanca. La viv...;40.4264192;-3.6624134;3 habs.;1ª planta
2.300.000 €;Piso en El Viso;/comprar/piso-chamartin_el_viso28006-33383916246_149200/;El Viso (Distrito Chamartín. Madrid Capital);4 baños;263 m²;"Única inmobiliaria chamartín pone a su disposición, en una de las zonas más emblemáticas de el viso.

La entrada a la vivienda es...";40.4390283;-3.6803904;5 habs.;6ª planta
430.000 €;Apartamento en Delicias;/comprar/apartamento-palos_de_moguer28045-35855291467_103800/;Palos de Moguer (Distrito Arganzuela. Madrid Capital);2 baños;85 m²;Vivienda para entrar a vivir en buena zona. Vivienda con mucha luz completamente reformada muy cerca de la estación de atocha, cer...;40.4011401;-3.6970353;2 habs.;4ª planta
653.000 €;Piso en Paseo de la Reina Cristina;/comprar/piso-jeronimos28014-30862317902_524865/;Jerónimos (Distrito Retiro. Madrid Capital);2 baños;152 m²;Vivienda alquilada. Maravilloso piso ubicado en una de las zonas más solicitadas de madrid, a escasos metros de la plaza de marian...;40.406872;-3.6815489;3 habs.;2ª planta
345.000 €;Piso en Opañel;/comprar/piso-opanel-42588791089_516943/;Opañel (Distrito Carabanchel. Madrid Capital);2 baños;121 m²;Tu nueva casa pone a la venta éste amplio y luminoso inmueble con orientación este/oeste, ubicado en el barrio de opañel, distrito...;40.3861057;-3.7236171;4 habs.;4ª planta
319.000 €;Piso en calle de López de Hoyos;/comprar/piso-chamartin_prosperidad28002-35093373248_100200/;Prosperidad (Distrito Chamartín. Madrid Capital);1 baño;73 m²;'agencia inmobiliaria de madrid zona prosperidad – alfonso xiii oficina tecnocasa de madrid vende piso, actualmente alquilado, en ...;40.4472362;-3.6692523;3 habs.;
3.650.000 €;Piso en calle de Génova;/comprar/piso-justicia_chueca28004-39182123539_100500/;Justicia-Chueca (Distrito Centro. Madrid Capital);5 baños;304 m²;Diza consultores tiene el placer de presentarles esta propiedad exterior situada en una de las mejores calles de almagro, con orie...;40.4264438;-3.6929693;4 habs.;5ª planta
220.000 €;Piso en Pueblo Nuevo;/comprar/piso-ciudad_lineal_pueblo_nuevo28017-42523925109_108900/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);1 baño;71 m²;El hogar que buscas en madrid es este: una cómoda vivienda exterior, salón con acceso a la terraza acristalada con vistas a la ciu...;40.4306902;-3.6401442;3 habs.;3ª planta
225.000 €;Piso en Fuente del Berro;/comprar/piso-fuente_del_berro28028-41744253281_100200/;Fuente del Berro (Distrito Salamanca. Madrid Capital);1 baño;42 m²;"Agencia inmobiliaria de madrid - zona salamanca - fuente del berro - guindalera - alquila piso en la calle bocángel.
Vivienda comp...";40.4288799;-3.6635019;1 hab.;3ª planta
2.800.000 €;Piso en calle de García de Paredes;/comprar/piso-chamberi_almagro28010-35923084131_996542/;Almagro (Distrito Chamberí. Madrid Capital);4 baños;480 m²;"Diplomatic real estate ofrece piso de más de 400 m². , segregbles con terraza privativa de 50 m², . En chamberí
Gran salón comedor...";40.4367073;-3.6927545;6 habs.;1ª planta
369.000 €;Piso en Cortes-Huertas;/comprar/piso-cortes_huertas28014-42567152594_100200/;Cortes-Huertas (Distrito Centro. Madrid Capital);1 baño;53 m²;"'agencia inmobiliaria de madrid zona huertas-cortes tecnocasa estudio huertas-cortes slu.
¡Vende en exclusiva! Vivienda muy lumino...";40.4132711;-3.6955172;2 habs.;5ª planta
160.000 €;Piso en Próximo A Metro Villaverde Bajo y Bajo-Cruce.;/comprar/piso-villaverde_los_rosales28021-35047887344_109100/;Los Rosales (Distrito Villaverde. Madrid Capital);1 baño;50 m²;Donpiso vende. Piso bajo a la venta totalmente reformado, grandes ventanales, mucha luz, cocina semi-equipada. Salón abierto a la ...;40.352744;-3.6890981;2 habs.;Bajo
900.000 €;Piso en Ibiza;/comprar/piso-ibiza28009-43361918415_100500/;Ibiza (Distrito Retiro. Madrid Capital);3 baños;110 m²;"Diza consultores les presenta exclusiva vivienda de diseño en ibiza.

En la primera planta de un edificio de mediados del siglo xx...";40.4166335;-3.6737867;2 habs.;1ª planta
645.000 €;Piso en Castillejos;/comprar/piso-castillejos28020-41759515619_105100/;Castillejos (Distrito Tetuán. Madrid Capital);2 baños;114 m²;"¡¡Te queremos sorprender con la propuesta de proyecto de reforma de esta vivienda, te encantará!!
 ¡Increíble oportunidad en el co...";40.459460845;-3.695060291;3 habs.;5ª planta
200.000 €;Piso en calle de Gumersindo Azcárate, 48;/comprar/piso-moscardo28026-40043841566_100500/;Moscardó (Distrito Usera. Madrid Capital);1 baño;59 m²;Inmoversion es tu mejor opción. No cobramos nada al comprador. Somos la inmobiliaria sin comisión líder en la zona. ¿Sabes por qué...;40.3878;-3.711;2 habs.;Bajo
999.000 €;Piso en calle del Arcipreste de Hita;/comprar/piso-gaztambide28015-40032085992_100500/;Gaztambide (Distrito Chamberí. Madrid Capital);3 baños;247 m²;Piso en venta en moncloa y chamberí, ubicado en el inicio de la calle princesa, en el barrio de argüelles. Se encuentra en la últi...;40.433917;-3.7180284;6 habs.;5ª planta
