precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta
230.000 €;Piso en calle del Abad Juan Catalán;/comprar/piso-vicalvaro_ambroz28032-38412926935_108900/;Ambroz (Distrito Vicálvaro. Madrid Capital);2 habs.;2 baños;84 m²;"Estupendo piso 84 m2, 2 dormitorios salón, comedor cocina totalmente equipada y amueblada baño con plato de ducha, y piscina comunitaria, con zonas de jardines y parques. 
Suelos de parque paredes de gotelé, aire acondicionado en salón y dormitorio, con bomba de calor, termo de agua caliente, ventanas de aluminio en toda la vivienda. 
Para entrar a vivir 

Vicálvaro es uno de los distritos de Madrid mejor comunicado por carretera y transporte público. Frente a parada de AUTOBUSES, cerca de A3, A2 de la R3 y la M45. El tren de cercanías a 3 minutos.
Ubicado frente al parque Forestal de Vicálvaro (al otro lado de la acera)
Próximo a la línea 9 de metro Estación Vicálvaro, Autobuses 106, 159, 287, E3, E5
También se encuentra al lado de Supermercados como Mercadona y Lidl, Burger King, Colegios y la Universidad Rey Juan Carlos.
MEJOR VER SIN COMPROMISO.

Para más información no dude en ponerse en contacto con nosotros en el correo  o en los teléfonos:  
    

Comentarte que contamos con un alianzas estratégicas para la intermediación Financiera en el cual puedes obtener un asesoramiento sin compromiso/sin coste para conocer tus posibilidades y tener mejores opciones y garantías a la hora de comprar.

Vivienda Madrid nace cuando las circunstancias, del mercado y la intuición empresarial se juntan en un mismo momento y espacio.

Es así, como en 2010 un grupo de profesionales con un trayectoria de más de diez años en el sector inmobiliario, deciden lanzarse al mercado con su propia marca.
M-23- Prolongación de O’Donnell: salida Vicálvaro.
Carretera de Vicálvaro a la Estación de O’Donnell: comunica Vicálvaro con la carretera M-201, el oeste de Coslada y el barrio de Rejas (San Blas-Canillejas)..";40,4054557;-3,5924463;
300.000 €;Piso en calle de Ardemans;/comprar/piso-guindalera28028-34175468591_440000/;Guindalera (Distrito Salamanca. Madrid Capital);2 habs.;1 baño;59 m²;"Se vende piso abuhardillado muy luminoso en séptima planta para reformar en guindalera. 

Se trata de una vivienda de aproximadame...";40.4353678;-3.6733312;Bajo
198.900 €;Piso en calle de la Corte de Faraón;/comprar/piso-villaverde_los_angeles28041-39241236715_527256/;Los Ángeles (Distrito Villaverde. Madrid Capital);3 habs.;2 baños;100 m²;Black house vende maravillosa vivienda situada en una de las mejores zonas del barrio de ciudad de los ángeles. Con todos los serv...;40.3620093;-3.6997941;Entresuelo
330.000 €;Piso en calle de Méjico;/comprar/piso-guindalera28028-38359381038_440000/;Guindalera (Distrito Salamanca. Madrid Capital);2 habs.;1 baño;50 m²;"¡No pierdas la oportunidad de adquirir este encantador piso en venta!

Con una superficie de 50 m², este luminoso inmueble cuenta ...";40.4368664;-3.6736536;4ª planta
225.000 €;Piso en calle de Antonio de Leyva;/comprar/piso-carabanchel_comillas28019-34180995810_101800/;Comillas (Distrito Carabanchel. Madrid Capital);;;75 m²;"Zona plaza elíptica
Bonito piso de 2 habitaciones (antes 3) muy luminoso y bien cuidado. Enfrente de zonas verdes.buena comunicaci...";40.3903689;-3.715977;
389.000 €;Piso en calle de Saúco, 19;/comprar/piso-berruguete28039-3113576304_109700/;Berruguete (Distrito Tetuán. Madrid Capital);2 habs.;2 baños;86 m²;3º a. Piso en una finca de obra nueva de 86 m² de superficie construida y emplazado en la zona de madrid capital, posicionado en p...;40.4605041;-3.7051378;3ª planta
310.000 €;Piso en calle de López de Hoyos;/comprar/piso-ciudad_lineal_colina28043-37542116882_100500/;Colina (Distrito Ciudad Lineal. Madrid Capital);2 habs.;1 baño;64 m²;Vohome propiedades ofrece en exclusiva a sus clientes esta fabulosa vivienda situada en una de las zonas más tranquilas del distri...;40.4583986;-3.6605268;2ª planta
130.000 €;Dúplex en calle del Oxígeno;/comprar/duplex-villaverde_san_andres28021-38363772795_100500/;San Andrés (Distrito Villaverde. Madrid Capital);3 habs.;2 baños;82 m²;Black house vende fantástica vivienda en villaverde alto, situada en una zona residencial cerrada muy tranquila, tiene todo lo ese...;40.3470181;-3.7068527;
139.000 €;Piso en calle de Isidra Jiménez;/comprar/piso-usera_pradolongo28026-38420556840_108900/;Pradolongo (Distrito Usera. Madrid Capital);3 habs.;1 baño;79 m²;"Vivienda madrid ofrece piso bajo de tres habitaciones, con patio de unos 12 m²

La cocina, el espacioso salón y una de las habitac...";40.3798003;-3.7059446;
204.900 €;Piso en calle de José de Cadalso;/comprar/piso-las_aguilas28044-38335903525_100500/;Las Águilas (Distrito Latina. Madrid Capital);3 habs.;1 baño;70 m²;Gespain inmobiliaria las aguilas-carabanchel, promociona la venta de piso para actualizar en calle josé de cadalso, muy próxima a ...;40.380951;-3.772201;6ª planta
219.000 €;Piso en Numancia;/comprar/piso-numancia28038-38432715401_100200/;Numancia (Distrito Puente de Vallecas. Madrid Capital);3 habs.;;103 m²;"Agencia inmobiliaria de madrid - zona nueva numancia - oficina tecnocasa

Venta: piso en calle sierra elvira. Vivienda totalmente ...";40.4049663;-3.6609831;11ª planta
259.000 €;Piso en Avenida Donostiarra;/comprar/piso-concepcion-37543076896_440000/;Concepción (Distrito Ciudad Lineal. Madrid Capital);2 habs.;1 baño;70 m²;¡Gran oportunidad de adquirir este magnífico piso en ciudad lineal! Ubicado en el barrio de la concepción, esta vivienda se encuen...;40.435219;-3.6588623;8ª planta
158.000 €;Piso en Avenida del Doctor Federico Rubio y Galí;/comprar/piso-bellas_vistas28039-37584528692_527060/;Bellas Vistas (Distrito Tetuán. Madrid Capital);2 habs.;1 baño;37 m²;Esta buscando vivir con tranquilidad, tenemos la solución , estupenda vivienda en barrio de bellas vistas específicamente en la av...;40.451028;-3.7094439;1ª planta
115.000 €;Piso en Paseo de Talleres;/comprar/piso-villaverde_san_andres28021-29211651234_101800/;San Andrés (Distrito Villaverde. Madrid Capital);;;65 m²;"Piso actualmente alquilado, disponible solo inversores,( rentabilidad 6%)
Estupendo piso de 2 habitaciones y 1 baño en villaverde....";40.3472657;-3.7038041;
