precio;sub_descr;href;ubicacion;mt2;planta;otros;latitude;longitude;habitaciones;banios
410.000 €;Piso en Pinar del Rey;/comprar/piso-pinar_del_rey28033-42547923717_100200/;Pinar del Rey (Distrito Hortaleza. Madrid Capital);120 m²;3ª planta;"Agencia inmobiliaria de madrid zona parque santa maria-pinar del rey-hortaleza tecnocasa, empresa líder en el sector inmobiliario con más de 30 años de experiencia en españa,

Vende:

 Estupenda vivienda, acogedora y luminosa con trastero ubicada en la zona de parque de sta. María, junto al metro. Distribuida en hall, cocina, salón, pasillo distribuidor, cuatro habitaciones, dos cuartos de baño y terraza abierta.

 Estas son algunas de las características del inmueble:
- se trata de una tercera planta de un edificio residencial con dos ascensores.
- amplio salón comedor con acceso a terraza abierta.
- dos cuartos de baños interiores con bañera.
- cocina espaciosa con zona de office.
- cuatro dormitorios, uno de ellos destinado a comedor.
- seis armarios empotrados distribuidos en dos de las habitaciones y en el pasillo ideal para el desahogo de la vivienda.
- vivienda luminosa con orientación sureste.
- calefacción central de gas natural y aire acondicionado.
- se encuentra en buen estado, aunque necesitaría actualización.
- ventanas de aluminio, suelo de tarima flotante y puertas de madera.
- la finca cuenta con portero físico y videoportero.
- incluye trastero de 11 metros cuadrados en el propio edificio.

 Se encuentra en una ubicación inmejorable, junto a la salida a la m11, a escasos metros del mercadona y de la estación de metro de parque santa maría, línea 4.
El barrio cuenta con plazas de aparcamiento para residentes (plazas p.a.r.), de uso exclusivo para personas empadronadas en el barrio, las cuales pueden ser adquiridas su cesión por un número de años por un importe fijado por el ayuntamiento.
La finca se encuentra cerca de todos los servicios, como supermercados (carrefour y mercadona), bancos, comercios, colegios, guarderías e institutos, parques y jardines.
El distrito de hortaleza es considerado uno de los mejores barrios fuera de la m-30 para vivir. Ya que es una zona residencial muy tranquila con muy buena comunicación con el centro de madrid y muy próximo a barajas.
Por todas estas razones la gente el barrio de hortaleza y mas concretamente en la zona de parque de santa maria para comprar su vivienda";40,4766811;-3,6453553;;
230.000 €;Piso en calle de Arriaza;/comprar/piso-moncloa_aravaca_arguelles28008-42523690713_100200/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);35 m²;;"Agencia inmobiliaria de madrid zona arguelles - plaza españa - conde duque oficina tecnocasa vende:
Vivienda ubicada en c/arriaza,...";40.4217514;-3.716188;2 habs.;1 baño
398.000 €;Ático en calle de San Vicente Ferrer;/comprar/atico-universidad_malasana28004-41701631571_100500/;Universidad-Malasaña (Distrito Centro. Madrid Capital);78 m²;;"Boher gestión inmobiliaria: vende, exclusivo ático sin terraza en la calle san vicente ferrer, 78 metros, 4º ext. Sin ascensor.

E...";40.4257261;-3.7027626;1 hab.;1 baño
369.000 €;Ático en calle de Saúco, 19;/comprar/atico-berruguete28039-3193770462_109700/;Berruguete (Distrito Tetuán. Madrid Capital);73 m²;;Ático b. Ático en una finca de obra nueva de 73 m² de superficie construida y emplazado en la zona de madrid capital, posicionado ...;40.4605085;-3.7051662;1 hab.;1 baño
155.000 €;Piso en calle del Pico de Almanzor;/comprar/piso-numancia28038-41752367596_100500/;Numancia (Distrito Puente de Vallecas. Madrid Capital);53 m²;Bajo;Este fabuloso piso se encuentra en calle pico almanzor, madrid, en la entre planta. Es un piso que tiene 53 m² y dispone de 2 habi...;40.4023664;-3.6627884;2 habs.;1 baño
420.000 €;Ático en calle del Comandante Fontanes;/comprar/atico-carabanchel_san_isidro28019-38405864393_510936/;San Isidro (Distrito Carabanchel. Madrid Capital);139 m²;;Estudio pradera de san isidro, s.l., vende espectacular vivienda dúplex en calle comandante fontanes con vistas privilegiadas. Se ...;40.3950651;-3.7259071;3 habs.;2 baños
2.200.000 €;Piso en calle del General Arrando;/comprar/piso-chamberi_almagro28010-41760490269_524350/;Almagro (Distrito Chamberí. Madrid Capital);177 m²;3ª planta;"Oasis house les ofrece este maravilloso piso a estrenar de lujo en el barrio de almagro.
La vivienda esta en proceso de reforma y ...";40.431644;-3.6949285;3 habs.;4 baños
365.000 €;Piso en calle de Canarias;/comprar/piso-palos_de_moguer28045-40874048100_100500/;Palos de Moguer (Distrito Arganzuela. Madrid Capital);88 m²;1ª planta;Si tu deseo es vivir en una de las zonas con más crecimiento, comunicación, zonas de ocio, restauración y a la vez cerca del centr...;40.4016602;-3.6914456;3 habs.;1 baño
3.250.000 €;Piso en calle de María de Molina;/comprar/piso-chamartin_el_viso28006-39180480477_101800/;El Viso (Distrito Chamartín. Madrid Capital);340 m²;11ª planta;Espectacular piso totalmente exterior en todo su perímetro, con unas vistas panorámicas de madrid. Ubicado en una planta alta sin ...;40.437989221;-3.689627648;5 habs.;4 baños
1.170.000 €;Piso en calle de Fernández de la Hoz;/comprar/piso-chamberi_almagro28003-39205359768_500635/;Almagro (Distrito Chamberí. Madrid Capital);162 m²;2ª planta;Luxcasa les ofrece esta espectacular y singular vivienda, totalmente reformada, junto a la plaza de san juan de la cruz, lista par...;40.439194;-3.6943382;2 habs.;2 baños
221.500 €;Piso en calle de Aranjuez;/comprar/piso-tetuan_almenara28029-40924343011_527060/;Almenara (Distrito Tetuán. Madrid Capital);63 m²;3ª planta;"Esta buscando una vivienda acorde a tus necesidades, te tenemos la solución.

Vivienda con 63 metros construidos en el barrio de b...";40.450139;-3.7091775;1 hab.;1 baño
232.000 €;Piso en calle de la Fuente de Lima;/comprar/piso-latina_aluche28024-40064233939_523204/;Aluche (Distrito Latina. Madrid Capital);75 m²;Bajo;"""hecho soluciones"", vende, estupendo piso en zona de las águilas, a 1 minuto de metro de aviación española""(línea 10), y a menos d...";40.383000502;-3.782009925;2 habs.;2 baños
358.000 €;Piso en Apostol Santiago;/comprar/piso-apostol_santiago-38374760769_102100/;Apóstol Santiago (Distrito Hortaleza. Madrid Capital);102 m²;;Gilmar consulting inmobiliario arturo soria, comercializa este precioso piso reformado, ubicado en una tranquila zona residencial ...;40.4787084;-3.6590723;3 habs.;2 baños
230.000 €;Piso en calle de Yécora;/comprar/piso-rejas28022-40907062460_519604/;Rejas (Distrito San Blas. Madrid Capital);59 m²;4ª planta;Redpiso vende piso muy luminoso y con preciosas vistas, en maravillosa urbanización. La vivienda consta de 1 dormitorio, cocina in...;40.4430326;-3.5760139;1 hab.;1 baño
395.000 €;Piso en calle de Fermín Caballero;/comprar/piso-fuencarral_el_pardo_la_paz28034-30891635446_513149/;La Paz (Distrito Fuencarral-El Pardo. Madrid Capital);100 m²;11ª planta;"No cobramos  al comprador
Vivienda en calle fermín caballero, planta muy alta y con muchísima luz natural, orientación n.o. Edific...";40.4855819;-3.702109;2 habs.;1 baño
3.830.000 €;Piso en calle de María de Molina;/comprar/piso-chamartin_el_viso28006-40045550927_101800/;El Viso (Distrito Chamartín. Madrid Capital);380 m²;1ª planta;Walter haus presenta esta magnífica vivienda recientemente reformada, con acabados de alta calidad y detalles exclusivos que la co...;40.4381633;-3.6892995;4 habs.;4 baños
245.000 €;Piso en Bellas Vistas;/comprar/piso-bellas_vistas28039-42551669411_100200/;Bellas Vistas (Distrito Tetuán. Madrid Capital);58 m²;2ª planta;Tecnocasa consulting cuatro caminos - 2022 s.l. Agencia inmobiliaria de madrid zona cuatro caminos-bellas vistas ofrece en venta p...;40.4510316;-3.7065521;2 habs.;1 baño
162.000 €;Piso en Los Ángeles;/comprar/piso-villaverde_los_angeles28041-41687238595_100200/;Los Ángeles (Distrito Villaverde. Madrid Capital);66 m²;6ª planta;Agencia inmobiliaria de madrid zona ciudad de los ángeles oficina tecnocasa de madrid vende en exclusiva piso en avenida verbena d...;40.4079154;-3.7118203;2 habs.;1 baño
395.000 €;Piso en Paseo de los Pontones;/comprar/piso-acacias28005-40840701710_993204/;Acacias (Distrito Arganzuela. Madrid Capital);72 m²;5ª planta;¡Bienvenido! En esta ocasión, inmobiliaria los berrocales tiene el placer de presentar un acogedor piso en venta en una de las zon...;40.404647;-3.7154069;2 habs.;1 baño
342.000 €;Piso en calle Joaquín Lorenzo;/comprar/piso-penagrande28035-40090689301_109700/;Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital);35 m²;;Piso en un inmueble de obra nueva de 35 m2 de superficie construida y situado en la zona de Madrid Capital. Está estructurado en 1 habitación y terraza. Proporciona como acabados armarios empotrados 0 habitaciones.;40,4741952;-3,7279946;1 hab.;1 baño
360.000 €;Piso en Aravaca;/comprar/piso-moncloa_aravaca_aravaca28023-40859536095_100200/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);79 m²;2ª planta;"Agencia inmobiliaria de madrid zona aravaca - valdemarin tecnocasa estudio aravaca sl
Piso duplex en venta:
Estupendo duplex en pl...";40.4585039;-3.7802767;3 habs.;2 baños
4.975.000 €;Piso en Centro;/comprar/piso-justicia_chueca28004-40925823101_109300/;Justicia-Chueca (Distrito Centro. Madrid Capital);408 m²;;"Les presentamos un espectacular ático en el barrio de justicia.
Una impresionante vivienda de 408 metros cuadrados, y con una terr...";40.4270876;-3.6974353;4 habs.;6 baños
230.000 €;Piso en calle de Los Yébenes;/comprar/piso-latina_aluche28047-41738174904_100500/;Aluche (Distrito Latina. Madrid Capital);65 m²;Bajo;Gespain aluche-campamento ofrece en exclusiva este inmueble, en planta baja, totalmente reformado con todos los detalles y las mej...;40.3919772;-3.7504048;2 habs.;1 baño
1.100.000 €;Piso en calle de Ayala;/comprar/piso-lista_barrio28006-42597567126_100500/;Lista (Distrito Salamanca. Madrid Capital);157 m²;2ª planta;"Civitas inmobiliaria ofrece un fantástico piso en calle ayala.

La vivienda cuenta con 157 m² construidos de los cuales 149 m² son...";40.4274641;-3.6763858;3 habs.;2 baños
210.000 €;Piso en calle de Vicenta Pachón;/comprar/piso-carabanchel_san_isidro28019-41727122295_998937/;San Isidro (Distrito Carabanchel. Madrid Capital);84 m²;Bajo;"Ingesul vende

Piso bajo, exterior, muy luminoso en muy buen estado, en un edificio de 2004. Piso distribuido en salón-comedor, co...";40.3949041;-3.7255272;1 hab.;2 baños
550.000 €;Piso en Ronda de Segovia;/comprar/piso-centro_palacio28005-41714532909_440000/;Palacio (Distrito Centro. Madrid Capital);112 m²;1ª planta;Magnífico piso totalmente reformado, con plaza de  garaje situado en pleno centro de la ciudad, en la zona palacio, concretamente ...;40.4085032;-3.715884;3 habs.;2 baños
350.000 €;Piso en calle de la Galera;/comprar/piso-alameda_de_osuna_barrio-40889600317_106000/;Alameda de Osuna (Distrito Barajas. Madrid Capital);94 m²;2ª planta;"Inmofacil.com ***vende*** piso en alameda de osuna en zona residencial. (gastos de agencia  incluidos)

 Vivienda totalmente exter...";40.4541224;-3.5900785;3 habs.;2 baños
369.000 €;Piso en calle de Cartagena;/comprar/piso-guindalera28028-42552921146_100200/;Guindalera (Distrito Salamanca. Madrid Capital);47 m²;3ª planta;"'agencia inmobiliaria de madrid - zona salamanca - estudio guindalera - francisco silvela - diego de león

Oficina tecnocasa vende...";40.4357944;-3.6700511;2 habs.;
147.000 €;Piso en calle de Antonio Durán Tovar;/comprar/piso-puente_de_vallecas_portazgo28018-40865004566_996584/;Portazgo (Distrito Puente de Vallecas. Madrid Capital);55 m²;1ª planta;Se vende fantástico piso de 55m², 3 dormitorios, amplio salón, baño con plato de ducha y cocina luminosa. Gas natural. Vivienda pa...;40.3918104;-3.6618577;3 habs.;1 baño
169.000 €;Piso en Paseo de Perales;/comprar/piso-puerta_del_angel-40921975380_101800/;Puerta del Ángel (Distrito Latina. Madrid Capital);64 m²;2ª planta;"La casa agency pone a su disposición una vivienda exterior de 64m², ubicada en una segunda planta sin ascensor.

El piso se distri...";40.4051841;-3.7417263;3 habs.;1 baño
2.350.000 €;Piso en Paseo de la Castellana, 96;/comprar/piso-chamartin_el_viso28006-36727650821_101800/;El Viso (Distrito Chamartín. Madrid Capital);235 m²;9ª planta;En una ubicación singular y privilegiada, en pleno paseo de la castellana, en el distrito de chamartín y barrio de el viso, calibe...;40.4439;-3.69071;4 habs.;3 baños
699.000 €;Piso en calle del Conde de Peñalver;/comprar/piso-goya28006-40923873063_100500/;Goya (Distrito Salamanca. Madrid Capital);65 m²;5ª planta;Este excepcional piso se encuentra en proceso de reforma, ubicado en conde peñalver, próximo al corte inglés de goya, barrio de sa...;40.4279632;-3.6756873;2 habs.;2 baños
530.000 €;Piso en calle de Bravo Murillo;/comprar/piso-tetuan_almenara28029-42587283323_100500/;Almenara (Distrito Tetuán. Madrid Capital);114 m²;1ª planta;"Civitas inmobiliaria ofrece apartamento en bravo murillo próximo a plaza castilla. 

La vivienda está completamente reformada y cu...";40.4598973;-3.69886;3 habs.;2 baños
900.000 €;Piso en Piovera;/comprar/piso-aeropuerto28042-26691681718_102100/;Aeropuerto (Distrito Barajas. Madrid Capital);337 m²;;Gilmar consulting inmobiliario madrid, conde orgaz-campo de las naciones, comercializa en la piovera esta vivienda exclusiva.  Imp...;40.4515768;-3.5808664;5 habs.;3 baños
342.000 €;Piso en calle Joaquín Lorenzo;/comprar/piso-penagrande28035-40090689301_109700/;Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital);35 m²;;Piso en un inmueble de obra nueva de 35 m² de superficie construida y situado en la zona de madrid capital. Está estructurado en 1...;40.4741952;-3.7279946;1 hab.;1 baño
190.000 €;Piso en calle de Arcos de Jalón;/comprar/piso-arcos28037-23413872187_100500/;Arcos (Distrito San Blas. Madrid Capital);90 m²;1ª planta;"San blas – arcos

Piso de 90 m² de 3 habitaciones exteriores dobles, es decir muy luminosas.
Un amplio salón exterior para tus reu...";40.4236416;-3.6164766;3 habs.;1 baño
525.000 €;Piso en calle de Narciso Serra;/comprar/piso-retiro_pacifico28007-40835213917_100500/;Pacífico (Distrito Retiro. Madrid Capital);129 m²;3ª planta;"Fantastica vivienda exterior a reformar con terraza en calle narciso serra al lado de la plaza de mariano de cavia.

En servifinca...";40.4059772;-3.6779561;3 habs.;2 baños
254.000 €;Piso en Lucero;/comprar/piso-lucero28047-41680916726_100200/;Lucero (Distrito Latina. Madrid Capital);89 m²;;Agencia inmobiliaria de madrid- zona lucero - laguna - gta. Cármenes, vende piso en la calle monsalupe de 89 m² distribuidos en ha...;40.4005102;-3.7530654;;
1.350.000 €;Piso en Avenida del General Perón;/comprar/piso-tetuan_cuatro_caminos28020-31764108017_100200/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);310 m²;;"Agencia inmobiliaria de madrid zona tetuán, cuatro caminos tecnocasa oficina infanta mercedes vende piso en av/ general peron.

 E...";40.452266408;-3.69513459;4 habs.;3 baños
1.080.000 €;Ático en Costillares;/comprar/atico-pinar_del_rey28033-38346518268_102100/;Pinar del Rey (Distrito Hortaleza. Madrid Capital);200 m²;;Gilmar consulting inmobiliario-arturo soria ofrece este magnífico atico de 4 dormitorios con una superficie de 200 metros cuadrado...;40.4685314;-3.6539685;4 habs.;2 baños
920.000 €;Ático en calle de Caleruega, 79;/comprar/atico-costillares-1768011289_109700/;Costillares (Distrito Ciudad Lineal. Madrid Capital);117 m²;;Ático e. Ático en una finca de obra nueva de 117 m² de superficie construida y emplazado en la zona de madrid capital, posicionado...;40.4833397;-3.6685473;2 habs.;2 baños
3.950.000 €;Piso en calle de Villanueva;/comprar/piso-recoletos28001-40902645303_101800/;Recoletos (Distrito Salamanca. Madrid Capital);228 m²;4ª planta;Descubre este inmueble único, situado en la zona más codiciada del prestigioso barrio de recoletos, a pocos pasos del hotel wellin...;40.422298388;-3.684466764;4 habs.;4 baños
585.000 €;Ático en Rejas, Las Mercedes;/comprar/atico-rejas28022-24207541862_101000/;Rejas (Distrito San Blas. Madrid Capital);146 m²;;Producto para inversión ( actualmente alquilado) en la mejor urbanización de la zona. Ático con terraza de 30 m² , gran salón, coc...;40.4449315;-3.5765296;3 habs.;2 baños
572.000 €;Piso en calle de Embajadores, 50;/comprar/piso-centro_embajadores_lavapies28012-42507257724_101800/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);78 m²;5ª planta;¡Piso a estrenar! De 78 m² construidos, está ubicado en pleno centro de la ciudad, en una zona con mucho ocio y vida urbana. Ademá...;40.4083;-3.70463;2 habs.;2 baños
1.175.000 €;Chalet pareado en Quinta de los Molinos;/comprar/chalet_pareado-bellas_vistas28039-41669648672_102100/;Bellas Vistas (Distrito Tetuán. Madrid Capital);360 m²;;Gilmar consulting inmobiliario comercializa en el corazón de la quinta de los molinos el chalet con las mejores vistas de la zona....;40.4656344;-3.6982314;5 habs.;5 baños
140.000 €;Piso en calle de José María del Boto;/comprar/piso-puerta_del_angel-36675979574_100500/;Puerta del Ángel (Distrito Latina. Madrid Capital);47 m²;Bajo;"!!! Gespain parque europa ofrece piso en venta en calle josé mª del boto.

Vivienda seminueva exterior, de aproximadamente 40 m² ú...";40.4052733;-3.7377747;1 hab.;1 baño
3.950.000 €;Piso en calle de Villanueva;/comprar/piso-recoletos28001-40885084886_524350/;Recoletos (Distrito Salamanca. Madrid Capital);228 m²;4ª planta;Oasis house les ofrece este espectacular piso a estrenar y amueblado en el barrio de recoletos, en una de las mejores calles de ma...;40.422374094;-3.684534721;4 habs.;5 baños
127.000 €;Piso en San Andrés;/comprar/piso-villaverde_san_andres28021-28370430021_997950/;San Andrés (Distrito Villaverde. Madrid Capital);60 m²;1ª planta;"Piso en primera planta cerca de metro y renfe de villaverde alto.
Dispone de salón-comedor, cocina amueblada, baño con bañera y do...";40.3441212;-3.7169483;2 habs.;1 baño
2.950.000 €;Chalet en calle Horche, 3;/comprar/chalet-moncloa_aravaca_aravaca28023-37508985595_101800/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);800 m²;;Obra nueva, de 5 villas independientes dentro de un complejo residencial cerrado con vigilancia privada, 800m² de vivienda, 1.000m...;40.4595;-3.76566;5 habs.;7 baños
377.900 €;Piso en calle Arte Figurativo Con Avenida Gran Vía del Sureste,  S/N;/comprar/piso-ensanche_de_vallecas_valdecarros28051-3702785223_109700/;Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital);115 m²;;Piso en una finca de obra nueva de 115 m² de superficie construida y emplazado en la zona de madrid capital. Está dispuesto en 3 h...;40.3512;-3.61038;3 habs.;2 baños
920.000 €;Ático en calle de Caleruega, 79;/comprar/atico-costillares-1768011289_109700/;Costillares (Distrito Ciudad Lineal. Madrid Capital);117 m²;;Ático E. Ático en una finca de obra nueva de 117 m2 de superficie construida y emplazado en la zona de Madrid Capital, posicionado en planta 7. Está dispuesto en 2 habitaciones, 2 baños completos y terraza. Cuenta como extras ascensor, 2 garajes.;40,4833397;-3,6685473;2 habs.;2 baños
1.250.000 €;Piso en calle de Montesa;/comprar/piso-goya28006-42519831457_101800/;Goya (Distrito Salamanca. Madrid Capital);117 m²;5ª planta;"Walter haus presenta en el exclusivo barrio de goya, esta residencia que ofrece un estilo de vida sofisticado y contemporáneo. 

A...";40.4273338;-3.6725134;2 habs.;3 baños
1.295.500 €;Chalet adosado en Peñagrande;/comprar/chalet_adosado-fuentelarreina28035-42560288135_102100/;Fuentelarreina (Distrito Fuencarral-El Pardo. Madrid Capital);282 m²;;Isla zanzíbar es una exclusiva promoción de 3 chalets unifamiliares de obra nueva en régimen de cooperativa, ubicada en peñagrande...;40.4748186;-3.7339219;5 habs.;5 baños
927.000 €;Piso en calle de Manuel de Falla;/comprar/piso-castilla28036-40095423282_513777/;Castilla (Distrito Chamartín. Madrid Capital);128 m²;1ª planta;"Agil inmobiliaria vende 

Este maravilloso piso de lujo en una ubicación inmejorable con plaza de garaje en finca. Destacamos una ...";40.4554119;-3.6877111;3 habs.;3 baños
1.495.000 €;Casa adosada en Hortaleza;/comprar/casa_adosada-piovera28043-40896652273_109300/;Piovera (Distrito Hortaleza. Madrid Capital);481 m²;;En la zona del conde orgaz, se vende chalet adosado de 480 metros cuadrados distribuidos en 4 plantas, desde sótano a buhardilla. ...;40.4583525;-3.6497549;5 habs.;6 baños
390.000 €;Piso en calle del Doctor Fourquet;/comprar/piso-centro_embajadores_lavapies28012-39251798547_440000/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);75 m²;3ª planta;"Piso en venta en la zona de lavapiés - museo reina sofía. 

Tiene una superficie útil de 65 m², es muy luminoso y cuenta con una t...";40.4076067;-3.6967772;3 habs.;1 baño
290.000 €;Piso en Cármenes;/comprar/piso-latina_carmenes28011-41696353376_100200/;Cármenes (Distrito Latina. Madrid Capital);80 m²;;"Agencia inmobiliaria de madrid zona latina, madrid rio tecnocasa estudio el manzanares sl
Piso en venta en madrid rio: 4' planta ...";40.4085027;-3.7227823;;
360.000 €;Piso en calle del Galeón;/comprar/piso-alameda_de_osuna_barrio-42553008637_100200/;Alameda de Osuna (Distrito Barajas. Madrid Capital);90 m²;5ª planta;"Agencia inmobiliaria de madrid zona alameda de osuna tecnocasa estudio alameda de osuna sl:
Piso en venta: consta de hall recibido...";40.455420007;-3.585975234;3 habs.;1 baño
1.435.000 €;Chalet pareado en Peñagrande;/comprar/chalet_pareado-fuentelarreina28035-25883283859_102100/;Fuentelarreina (Distrito Fuencarral-El Pardo. Madrid Capital);388 m²;;Gilmar mirasierra - puerta de hierro presenta en exclusiva chalet de obra nueva de 388,40 m² con toda la tecnología puntera para q...;40.475978;-3.738166;6 habs.;6 baños
349.000 €;Piso en calle de Juana Doña;/comprar/piso-arganzuela_delicias-40844027729_100500/;Delicias (Distrito Arganzuela. Madrid Capital);89 m²;1ª planta;Vivienda en primera planta con ascensor a cinco minutos del metro y cercanías de delicias. La vivienda se distribuye en un amplio ...;40.3968047;-3.6929197;3 habs.;2 baños
1.525.000 €;Piso en Hortaleza;/comprar/piso-piovera28043-41744962629_109300/;Piovera (Distrito Hortaleza. Madrid Capital);250 m²;;"En una de las urbanizaciones más consolidadas del conde orgaz, al lado del arturo soria plaza, se&nbsp; una vende excepcional vivi...";40.4522045;-3.6478256;5 habs.;4 baños
780.000 €;Piso en calle de la Puebla;/comprar/piso-universidad_malasana28004-42589193056_440000/;Universidad-Malasaña (Distrito Centro. Madrid Capital);126 m²;3ª planta;"Magnífico piso totalmente reformado,  situado en el corazón de  madrid, en la zona centro - malasaña.

La vivienda está compuesta ...";40.422165;-3.7027568;3 habs.;2 baños
796.000 €;Piso en calle de los Mártires Concepcionistas;/comprar/piso-lista_barrio28006-42540110190_526198/;Lista (Distrito Salamanca. Madrid Capital);97 m²;2ª planta;¡Bienvenido al barrio de salamanca, en la encantadora calle de las mártires concepcionistas, donde la elegancia y la comodidad se ...;40.4294626;-3.6707157;2 habs.;2 baños
332.500 €;Piso en calle Ilusion, 22;/comprar/piso-el_canaveral-4088731652_109700/;El Cañaveral (Distrito Vicálvaro. Madrid Capital);99 m²;1ª planta;P.3 1ºe v05. Piso en un inmueble de obra nueva de 99 m² de superficie construida y situado en la zona de madrid capital, acomodado...;40.404742073;-3.555921144;2 habs.;2 baños
480.000 €;Piso en Arganzuela;/comprar/piso-imperial28005-41761487165_108900/;Imperial (Distrito Arganzuela. Madrid Capital);84 m²;;"""soncasas"" les ofrece en venta de particular a particular, sin ningún tipo de comisión para el comprador, un precioso piso en una ...";40.4050393;-3.7191042;2 habs.;2 baños
255.000 €;Piso en Comillas;/comprar/piso-carabanchel_comillas28019-36728992187_100200/;Comillas (Distrito Carabanchel. Madrid Capital);78 m²;1ª planta;"Agencia inmobiliaria de madrid, zona marques de vadillo - general ricardos, oficina tecnocasa.
Vende estupenda vivienda muy lumino...";40.396031;-3.7142532;3 habs.;1 baño
1.268.966 €;Piso en calle de Amorós, 11;/comprar/piso-guindalera28028-4012879325_109700/;Guindalera (Distrito Salamanca. Madrid Capital);237 m²;2ª planta;2º. Piso en una finca de obra nueva de 237m² de superficie construida y emplazado en la zona de madrid capital, posicionado en pla...;40.4348865;-3.6689921;3 habs.;4 baños
235.000 €;Ático en calle de Los Mártires de la Ventilla;/comprar/atico-tetuan_almenara28029-40081589153_522529/;Almenara (Distrito Tetuán. Madrid Capital);35 m²;;Redpiso comercializa en exclusiva pisos de obra nueva a estrenar en almenara, edificio wexford,  en calle mártires de la ventilla ...;40.4712958;-3.6927665;;1 baño
1.129.000 €;Piso en calle de Alberto Bosch;/comprar/piso-jeronimos28014-40883366113_101800/;Jerónimos (Distrito Retiro. Madrid Capital);98 m²;2ª planta;Walter haus tiene el placer de presentar esta propiedad excepcional, un piso interior situado en el corazón del prestigioso barrio...;40.413541;-3.6892658;3 habs.;3 baños
2.950.000 €;Piso en Jerónimos;/comprar/piso-jeronimos28014-37552889066_996152/;Jerónimos (Distrito Retiro. Madrid Capital);179 m²;3ª planta;"Piso planta 3 º
Superficie construida: 179 m²
3 dormitorios, 3 baños, aseo de cortersia
Amueblado: si.
Año construcción: 1927
Esta...";40.4178544;-3.6893445;3 habs.;4 baños
1.350.000 €;Piso en calle del General Díaz Porlier;/comprar/piso-goya28001-40001390938_524350/;Goya (Distrito Salamanca. Madrid Capital);155 m²;5ª planta;"Oasis house les ofrece este espectacular piso a estrenar en el barrio de goya en un edificio clásico con ascensor.
La vivienda se ...";40.426751;-3.6769568;3 habs.;2 baños
795.000 €;Piso en calle del General Ibáñez de Ibero;/comprar/piso-chamberi_vallehermoso28003-41706406887_527809/;Vallehermoso (Distrito Chamberí. Madrid Capital);157 m²;7ª planta;Descubre el hogar de tus sueños en el vibrante barrio de vallehermoso, dentro del distrito de chamberí, junto al hermoso parque de...;40.4449407;-3.7103399;3 habs.;3 baños
254.000 €;Piso en calle de Camarillas;/comprar/piso-casco_historico_de_barajas-41728112555_100500/;Casco Histórico de Barajas (Distrito Barajas. Madrid Capital);42 m²;2ª planta;"Roabuni inversiones s. L. Ofrece en exclusiva, bellísimo apartamento abuhardillado en la mejor zona de barajas; en un edificio que...";40.472536;-3.5767634;1 hab.;1 baño
179.000 €;Piso en calle de Silvio Abad;/comprar/piso-zofio28026-42509667327_520982/;Zofío (Distrito Usera. Madrid Capital);73 m²;2ª planta;Piso en venta en madrid zona usera, con 73m² de superficie y una acogedora terraza de 4m². Este luminoso inmueble cuenta con una h...;40.3808267;-3.7153736;3 habs.;1 baño
155.000 €;Piso en Numancia;/comprar/piso-numancia28038-36746277996_100500/;Numancia (Distrito Puente de Vallecas. Madrid Capital);57 m²;2ª planta;"Gespain actividades inmobiliarias vende en exclusiva!
  Piso con ascensor, formado por 2 habitaciones, salón, cocina, baño y aseo....";40.4032598;-3.6605519;2 habs.;2 baños
1.730.000 €;Piso en calle de Velázquez;/comprar/piso-salamanca_castellana28006-41689269322_101800/;Castellana (Distrito Salamanca. Madrid Capital);158 m²;4ª planta;Sumérjase en el lujo y la comodidad de este espacioso y luminoso piso de 158m², ubicado en una distinguida finca clásica de 1920 c...;40.4359859;-3.6829858;4 habs.;3 baños
1.300.000 €;Piso en Conde Orgaz;/comprar/piso-hortaleza_canillas28043-41731912436_102100/;Canillas (Distrito Hortaleza. Madrid Capital);179 m²;;Gilmar consulting inmobiliario conde orgaz-campo de las naciones, comercializa esta gran vivienda en conde orgaz en urbanización a...;40.4605367;-3.646796;3 habs.;3 baños
3.950.000 €;Piso en Recoletos;/comprar/piso-recoletos28001-40839689537_108500/;Recoletos (Distrito Salamanca. Madrid Capital);228 m²;;Colaboramos con otras agencias. Madin inmobiliaria – interiorismo ofrece en venta maravilloso piso recién reformado en el centro d...;40.4224264;-3.6837402;4 habs.;5 baños
450.000 €;Piso en Plaza de Patricio Aguado;/comprar/piso-hortaleza_canillas28043-30038328763_101800/;Canillas (Distrito Hortaleza. Madrid Capital);90 m²;5ª planta;"""casas y mas vende, magnífica vivienda exterior completamente reformada, a estrenar, compuesta por 3 dormitorios, 2 baños y garaje...";40.464332;-3.636187;3 habs.;2 baños
