precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
745.000 €;Piso en Salamanca;/comprar/piso-lista_barrio28006-38424734489_101800/;Lista (Distrito Salamanca. Madrid Capital);2 habs.;1 baño;104 m²;4ª planta;"Engel & Völkers les presenta esta exclusiva vivienda en una de las zonas con más encanto del barrio de Salamanca. Situada en una cuarta planta. Dispone de una estudiada distribución de los espacios que da a la vivienda mucha luminosidad y amplitud. Esta propiedad tiene excelentes calidades cuidando al máximo todos los detalles. Cuenta con un salón con cocina integrada en el mismo lo que hace de esta estancia una apetecible zona social, dos dormitorios con armarios empotrados y un baño con plato de ducha.
El barrio de Salamanca es una de las zonas más relevantes de Madrid, tanto por su peculiar distribución como por los vecinos que tradicionalmente han habitado sus emblemáticas calles. Su construcción data de la segunda mitad del siglo XIX y corresponde a la ampliación urbanística llevada a cabo durante el reinado de Isabel II. El precursor al que se debe su nombre fue el malagueño José de Salamanca y Mayol, Marqués de Salamanca, quien concibió un nuevo emplazamiento con una cuidada edificación que albergara a las clases aristocráticas y burguesas de Madrid. De estilo decimonónico, se caracteriza por su especial distribución regular en forma de damero con calles perpendiculares. Sus edificios gozan de especial interés gracias a su calidad arquitectónica y la belleza de sus fachadas.";40,4348314;-3,677145
2.950.000 €;Casa en Aravaca;/comprar/casa-moncloa_aravaca_aravaca28023-38363544914_101800/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);5 habs.;;853 m²;;"Presentamos una exclusiva residencia de estilo clásico, con instalaciones de primera clase.Esta elegante casa, construida en los años 70, luce una fachada de ladrillo blanco y techos de pizarra, otorgándole un encanto tradicional sin perder su toque contemporáneo. 
El acceso a la entrada principal se realiza a través de unas acogedoras escaleras, flanqueadas por azaleas, camelias, rododendros y árboles con historia. Al cruzar la puerta, se encuentra un encantador vestíbulo con un aseo de cortesía. A la izquierda, el imponente salón principal se comunica con una terraza cubierta y acristalada, que ofrece vistas al jardín y a la piscina. Adyacente al salón, se ubica una coqueta biblioteca  con ventanales hacia el jardín, seguida de un exquisito comedor que se conecta con una amplia y luminosa cocina, así como con la zona de servicio. 
La primera planta alberga dos dormitorios que comparten un baño, un hermoso pasillo y, al final de éste, dos habitaciones adicionales con otro baño. También  se encuentra un pequeño estudio. En el segundo piso, se halla la majestuosa habitación principal, completa con un lujoso vestidor y baño privado
La planta sótano ofrece espacios de almacenaje y dos amplias salas, ideales para uso como gimnasio, cine, estudio, o despachos. 
El jardín, cuidadosamente diseñado, cuenta con una piscina rodeada de césped y una encantadora caseta, junto a una delicada área estilo francés con flores y fuentes.
Esta casa es, sin dida, una joya arquitectónica que combina lo mejor de la tradición y la modernidad.
Colonia de los Diplomáticos es una de las mejores zonas residenciales de Aravaca, situada al lado del pueblo, con conexión con las principales carreteras de acceso a Madrid y autobuses que te llevan en 10 minutos a Moncloa. Los mejores colegios están al lado, así como comercios, centros de salud, gimnasios y todos los servicios   que puedas necesitar.";40,4539915;-3,7736633
950.000 €;Piso en Tetuan;/comprar/piso-castillejos28046-38418230318_101800/;Castillejos (Distrito Tetuán. Madrid Capital);3 habs.;3 baños;127 m²;1ª planta;"Engel & Völkers, inmobiliaria de lujo de Madrid ofrece esta impresionante vivienda en pleno Paseo de la Castellana, piso en reforma actual prevista su finalización para primero de agosto del 2022 se encuentra en pleno distrito de Castillejos una de las zonas más demandadas actualmente en la capital por su cercanía al distrito financiero de la misma.
El piso de 120 m² cuenta con tres dormitorios, tres cuartos de baño completos, dos de ellos en Suite, bonito salón con cocina abierta, de grandes calidades, cabe destacar su espectacular isla que separa los dos ambientes, pero a su vez hace la integración de la cocina en el salón, todo exterior con balcón a la Glorieta de Cuzco.
 La habitación principal, exterior con balcón, cuenta con baño en suite de diseño y vestidor completo. Se trata de un primer piso exterior, con altura de un segundo, luminoso, vistas a La Castellana y la Glorieta de Cuzco, suponiendo una gran oportunidad para inversores y familias. 
La finca cuenta con dos ascensores, portero físico, acceso para personas con movilidad reducida y servicios centrales.
La propiedad se ubica en el popular barrio de Castillejos, dentro del Distrito de Tetuán, al noroeste de la capital. 
Tetuán ofrece una amplia gama de servicios desde grandes almacenes, comercios, farmacias, colegios, iglesias, gimnasios, hoteles, hasta zonas deportivas y una selección muy amplia de bares y restaurantes. 
El distrito es especialmente conocido por su centro de negocios AZCA y el Corte Inglés en la calle Raimundo Fernández Villaverde. 
En cuanto a las comunicaciones, Castillejos tiene una excelente cobertura de transporte. Esto se debe a la cercanía de este a la estación de Nuevos Ministerios y del intercambiador de Plaza de Castilla. El acceso al centro de la ciudad y a las principales salidas (M-30, A-1) es rápido, ya sea por el Paseo de La Castellana o Plaza Castilla.";40,4574168;-3,6907946
378.000 €;Piso en calle de Bravo Murillo;/comprar/piso-castillejos28020-41705806598_101800/;Castillejos (Distrito Tetuán. Madrid Capital);2 habs.;1 baño;70 m²;3ª planta;¡Increíble oportunidad de adquirir este fantástico piso en venta! Ubicado en la zona de cuzco-castillejos, este luminoso y acogedo...;40.4643378;-3.6951287
169.000 €;Piso en Paseo de Perales;/comprar/piso-puerta_del_angel-40921975380_101800/;Puerta del Ángel (Distrito Latina. Madrid Capital);3 habs.;1 baño;64 m²;2ª planta;"La casa agency pone a su disposición una vivienda exterior de 64m², ubicada en una segunda planta sin ascensor.

El piso se distri...";40.4051841;-3.7417263
210.000 €;Piso en calle de Pont de Molins;/comprar/piso-puente_de_vallecas_portazgo28038-41765984021_527714/;Portazgo (Distrito Puente de Vallecas. Madrid Capital);2 habs.;1 baño;71 m²;6ª planta;Descubre la elegancia y comodidad en esta encantadora vivienda de 2 habitaciones con una superficie útil de 71 m². Este acogedor h...;40.3930819;-3.6444986
245.000 €;Piso en calle de Antonio de Leyva;/comprar/piso-carabanchel_comillas28019-34180995810_101800/;Comillas (Distrito Carabanchel. Madrid Capital);2 habs.;1 baño;75 m²;3ª planta;Fantástico piso en venta en la zona de plaza elíptica. Con 2 habitaciones (antes 3), este inmueble destaca por su luminosidad y bu...;40.3907144;-3.7155149
179.000 €;Piso en calle de Marcos de Orueta;/comprar/piso-fuencarral_el_pardo_la_paz28034-39177285311_517167/;La Paz (Distrito Fuencarral-El Pardo. Madrid Capital);3 habs.;1 baño;65 m²;Bajo;"Vivienda de tres habitaciones en exlusiva zona del barrio de begoña 

Vivienda madrid ofrece en exclusiva vivienda de 65 m² para a...";40.4845367;-3.6859685
214.900 €;Piso en calle de Piqueñas;/comprar/piso-carabanchel_buenavista28044-40836468659_100500/;Buenavista (Distrito Carabanchel. Madrid Capital);3 habs.;1 baño;75 m²;2ª planta;"Piso de esquina con doble orientación, totalmente exterior con mucha luminosidad.

Gespain las aguilas - carabanchel promociona pi...";40.3671029;-3.7609287
515.000 €;Piso en calle de Ferrer del Río;/comprar/piso-guindalera28028-40871731047_440000/;Guindalera (Distrito Salamanca. Madrid Capital);3 habs.;1 baño;83 m²;3ª planta;"Piso en venta de 87 m²  ubicada a pocos metros de diego de león. 

El salón comedor cuenta con salida a una amplia terraza, mientr...";40.4343526;-3.6723022
420.000 €;Ático en calle del Comandante Fontanes;/comprar/atico-carabanchel_san_isidro28019-38405864393_510936/;San Isidro (Distrito Carabanchel. Madrid Capital);3 habs.;2 baños;139 m²;;Estudio pradera de san isidro, s.l., vende espectacular vivienda dúplex en calle comandante fontanes con vistas privilegiadas. Se ...;40.3950651;-3.7259071
398.000 €;Ático en calle de San Vicente Ferrer;/comprar/atico-universidad_malasana28004-41701631571_100500/;Universidad-Malasaña (Distrito Centro. Madrid Capital);1 hab.;1 baño;78 m²;;"Boher gestión inmobiliaria: vende, exclusivo ático sin terraza en la calle san vicente ferrer, 78 metros, 4º ext. Sin ascensor.

E...";40.4257261;-3.7027626
