precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
3.800 €/mes;Piso en calle de Diego de León;/alquilar/piso-lista_barrio28006-39209289473_524350/;Lista (Distrito Salamanca. Madrid Capital);4 habs.;4 baños;223 m²;6ª planta;"Oasis House alquila esta exclusiva vivienda del Barrio de Salamanca, ubicada en la sexta planta de una finca moderna, con portero físico y servicios centrales. La casa cuenta con un espectacular salón comedor de alrededor de 70m2, con cuatro ventanales que proporcionan una fabulosa luz natural a la estancia.
En la zona de descanso, encontramos tres amplios dormitorios, todos ellos en suite con armarios empotrados totalmente vestidos.
La cocina tiene un office de diario, entrada independiente , dormitorio y baño completo, además cuenta con una terraza tendedero.
Ubicado en una de las calles más representativas del Barrio de Salamanca, está rodeado de un amplia oferta de ocio y restauración, tiene todos los servicios al alcance y esta perfectamente comunicado. La vivienda tiene calefacción central,  aire acondicionado y dos plazas de garaje.
Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo de los propietarios. Pueden verlos accediendo a nuestra WEB theoasishouse.es 
Llámanos para una visita. Si te encuentras fuera de Madrid no te preocupes, haremos una visita virtual guiada

En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de:
- asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos
- servicio de reformas y de proyectos de interiorismo
- profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona!
- Certificados de eficiencia energética
- Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad
- Experiencia, eficacia y seriedad";40,4344598;-3,6771508
3.500 €/mes;Piso en Hispanoamérica;/alquilar/piso-chamartin_hispanoamerica28036-39177817960_524350/;Hispanoamérica (Distrito Chamartín. Madrid Capital);4 habs.;5 baños;233 m²;2ª planta;"Oasis House alquila esta fantástica vivienda en el exclusivo barrio de Chamartín. La casa cuenta con un amplio hall de entrada, que da paso a un espectacular salón en dos ambientes más una zona que se puede destinar tanto para  despacho, cuarto de estar, sala de juegos o comedor. La cocina está equipada, tiene despensa, zona de lavandería, dormitorio de servicio y baño completo. En la zona de descanso hay tres amplios dormitorios, uno de ellos tiene acceso a una terraza orientación sur. El dormitorio principal es en suite y tiene  una amplia zona de armarios . Los otros dos dormitorios comparten un baño y además hay otro de invitados. Toda la casa tiene grandes ventanales y por su orientación goza de una espectacular luz natural. Cuenta con una ubicación privilegiada al estar rodeado de zonas verdes, por su cercanía al centro financiero, a los comercios mas exclusivos de la cuidad, los mejores colegios y tener al alcance todos los servicios además de una amplia oferta de ocio y restauración. el inmueble se completa con una plaza de garaje de acceso directo y un trastero comunitario.

En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de:
- asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos
- servicio de reformas y de proyectos de interiorismo
- profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona!
- Certificados de eficiencia energética
- Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad
- Experiencia, eficacia y seriedad

Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo expreso de los propietarios. Pueden verlos accediendo a nuestra web WEB theoasishouse.es";40,4591968;-3,6875158
6.000 €/mes;Piso en calle de Henri Dunant;/alquilar/piso-nueva_espana28036-30901063587_524350/;Nueva España (Distrito Chamartín. Madrid Capital);4 habs.;5 baños;384 m²;7ª planta;"Oasis House les presenta este impresionante piso, exterior a todas las orientaciones, que dotan a la vivienda de una excepcional luminosidad lo que junto a las calidades de altísima gama hacen de este inmueble un hogar exclusivo.
USO POSIBLE COMO OFICINA TAMBIÉN.

Distribución. 
Accedemos a la vivienda por un amplísimo hall dotado de armario y aseo de cortesía para las visitas. Este hall distribuye la vivienda en tres zonas.
En primer lugar la zona de recibo con gran salón en dos ambientes, dispone de chimenea, y terraza cuadrada con orientación sur y grandiosas vistas al Olivar de Castillejo. Este saló da acceso al comedor independiente, de gran tamaño y grandes vistas, con acceso directo a la cocina.
En segundo lugar, la zona de servicio se compone de cocina independiente con  gran isla central y electrodomésticos de alta gama marca Gaggenau, lavadero tendedero y habitación de servicio con baño completo.
En tercer lugar encontraremos la zona de descanso, compuesta por:
- un enorme dormitorio principal con grandioso vestidor a medida, baño completo y gimnasio.
- Dos suites compuestas cada una de ellas por amplios dormitorios con baños en suite y uno de ellos con vestidor
- Uno de estos dormitorios puede ser usado como despacho al tener las paredes paneladas con biblioteca.
 
 Es una vivienda que destaca por su luminosidad y amplitud, dotadas todas las estancias de múltiples armarios ocultos en las paredes. 
Las calidades son de lujo, con persianas motorizadas, focos de luz con intensidad regulable, bomba de aire frío-calor,  calefacción individual, etc. 
Dispone de tres plazas de garaje. Seguridad 24 horas.


En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de:
- asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos
- servicio de reformas y de proyectos de interiorismo
- profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona!
- Certificados de eficiencia energética
- Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad
- Experiencia, eficacia y seriedad
Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo expreso de los propietarios. Pueden verlos accediendo a nuestra web WEB   theoasishouse. es";40,4603695;-3,6844195
3.900 €/mes;Piso en Recoletos;/alquilar/piso-recoletos28001-39249128885_996152/;Recoletos (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;110 m²;4ª planta;"Inmoboulevard pone en alquiler este magnifico piso en alquiler en recoletos. 
Piso planta 4 º 
Superficie construida: 110 m² 
2 do...";40.422874968;-3.689993891
2.000 €/mes;Piso en Paseo de la Virgen del Puerto;/alquilar/piso-imperial28005-29228616576_512906/;Imperial (Distrito Arganzuela. Madrid Capital);3 habs.;2 baños;125 m²;1ª planta;"Magnífico piso en el pº de virgen del puerto
Hominn presenta esta fantástica propiedad de 125 m², en pleno barrio de imperial.

La...";40.4046538;-3.7218652
4.100 €/mes;Piso en Castellana;/alquilar/piso-salamanca_castellana28046-25864669701_515716/;Castellana (Distrito Salamanca. Madrid Capital);4 habs.;3 baños;300 m²;7ª planta;"""excelente oportunidad"". Piso para entrar a vivir. Lujo. Totalmente amueblado. Muy luminoso. 4 dormitorios, el principal en suite ...";40.427099;-3.690444
3.400 €/mes;Piso en calle de Claudio Coello, 75;/alquilar/piso-salamanca_castellana28001-38410343911_998173/;Castellana (Distrito Salamanca. Madrid Capital);4 habs.;3 baños;160 m²;6ª planta;Grupo interpres alquila en exclusiva este espectacular piso exterior y reformado en plena milla de oro. Cuenta con una superficie ...;40.429357362496475;-3.6861110042446796
4.150 €/mes;Piso en calle de Velázquez;/alquilar/piso-salamanca_castellana28006-30874549907_101800/;Castellana (Distrito Salamanca. Madrid Capital);3 habs.;3 baños;196 m²;2ª planta;"Calle velazquez, con vistas a los jardines de la embajada italiana.

Garaje incluido en el precio.

3 dormitorios con 3 baños.
Dor...";40.4308515;-3.6838773
3.950 €/mes;Casa en calle de Gloria Fuertes;/alquilar/casa-mirasierra_arroyo_del_fresno28049-34229386439_512757/;Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital);3 habs.;4 baños;461 m²;;"Alquiler de chalé adosado recien terminado de construir, de 4 plantas, en urbanización cerrada de 9 chalés, muy representativa.

S...";40.496206062;-3.724233484
1.100 €/mes;Apartamento en calle de Balmes, 1;/alquilar/apartamento-trafalgar28010-25043213229_101600/;Trafalgar (Distrito Chamberí. Madrid Capital);1 hab.;1 baño;40 m²;4ª planta;Apartamento de un dormitorio, cocina equipada con electrodomésticos, zona metro iglesia, muy centrico y buenas comunicaciones, en ...;40.4354;-3.7003
