precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
675.000 €;Piso en calle del Duque;/comprar/piso-universidad_malasana28015-42506355994_100200/;Universidad-Malasaña (Distrito Centro. Madrid Capital);5 habs.;2 baños;137 m²;2ª planta;"Agencia inmobiliaria de MADRID zona ARGUELLES - PLAZA ESPAÑA - CONDE DUQUE Oficina Tecnocasa VENDE:
RESERVADO. Vivienda señorial en segunda planta, exterior, con ascensor en plena C/Conde Duque, junto a Alberto Aguilera, el Centro Cultural Conde Duque y el Museo ABC. Tiene una superficie total construida de 137m2, actualmente su distribución es la siguiente: cinco habitaciones, salón, cocina independiente y dos baños completos. La vivienda se puede redistribuir debido a que la mayor parte de las paredes son tabique, resultando así un piso más moderno y actual pero conservado el estilo clásico y atemporal que tiene la finca.
El inmueble es exterior a calle Conde Duque en su salón, que cuenta con más de 20 metros cuadrados útiles y dispone de dos balcones, y en uno de sus dormitorios que también cuenta con su propio balcón.
En la parte interior del inmueble se encuentran otras 4 habitaciones del piso, una de ellas con baño en suite y vestidor y otras estancias auxiliares.
La calefacción del inmueble es central de gas natural central.
Ubicado en la calle Conde Duque, en el distrito Malasaña-Universidad, una zona caracterizada por su tranquilidad, poca afluencia de tráfico o tránsito de gente, a diferencia de otras zonas de este distrito.
Además, la zona cuenta con supermercados, pequeños comercios de barrio y grandes superficies comerciales, como el Corte Inglés a menos de 5 minutos a pie.
Comunicaciones con todo Madrid en transporte público, por Metro y autobuses urbanos.";40,4721568;-3,577053
299.000 €;Piso en calle de Martín de los Heros;/comprar/piso-moncloa_aravaca_arguelles28008-43359425714_100200/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);3 habs.;1 baño;58 m²;;"Agencia inmobiliaria de madrid zona arguelles - plaza españa - conde duque oficina tecnocasa vende:
Reservado. Piso interior muy luminoso con ascensor situado en la calle martín de los heros. El inmueble tiene 58m² construidos distribuidos en tres dormitorios, salón, cocina independiente y baño.
Se trata de una quinta y última planta, por lo que goza de una excelente luz natural en todas las estancias.
La vivienda requiere de una reforma integral y, dada la ausencia de muros de carga y la disposición de sus tabiques, se puede redistribuir de diversas formas.
Se ubica en el barrio de argüelles, junto a calle princesa, con todo tipo de servicios a su alrededor: metro, autobuses de línea, grandes superficies comerciales como el corte inglés, supermercados y todo tipo de pequeños comercios de barrio.
A dos minutos de cines renoir y golem, de versión original, así como cines y teatros en gran vía a 5 minutos, fnac en plaza del callao y un largo “etc” en cuanto a la oferta socio-cultural que ofrece la zona.";40,4260077;-3,7150508
360.000 €;Piso en calle del Limón;/comprar/piso-universidad_malasana28015-41708392084_100200/;Universidad-Malasaña (Distrito Centro. Madrid Capital);2 habs.;1 baño;68 m²;4ª planta;"Agencia inmobiliaria de MADRID zona ARGUELLES - PLAZA ESPAÑA - CONDE DUQUE Oficina Tecnocasa VENDE:
RESERVADO. Vivienda exterior en la C/Limón, en pleno corazón de Conde Duque, en el distrito de Malasaña - Universidad.
La vivienda es exterior y tiene 3 amplios ventanales a la calle, se compone de 68 m2 que se distribuyen en dos dormitorios, salón, cocina independiente y baño completo. Todas las estancias cuentan con ventana, dotando a la vivienda de gran luminosidad en cada rincón. La propiedad permite un gran abanico de posibilidades a la hora de redistribuir los espacios.
La zona más próxima a Plaza España en Madrid es un área vibrante y cosmopolita que combina a la perfección la historia y la modernidad. Rodeada de emblemáticos monumentos y edificios, así como de una amplia oferta cultural y de ocio, esta zona es muy popular tanto entre los madrileños como entre los turistas. 
En cuanto a la oferta cultural, en esta zona se encuentra el Teatro Real, así como el Teatro Lope de Vega. También se encuentra el Parque del Oeste, un espacio verde donde se puede disfrutar de un agradable paseo y el Templo de Debod, que ofrece una de las vistas más impresionantes de la ciudad. Además, también se encuentran muy próximos los Jardines Sabatini y los jardines del Campo del Moro. 
Perfectamente comunicado con líneas de metro (Plaza España, Ventura Rodríguez y Argüelles) y autobuses urbanos e interurbanos, así como taxis y alquileres de bicicletas municipales en las avenidas principales y calles próximas.";40,4262223;-3,7105363
429.900 €;Ático en calle de la Secoya;/comprar/atico-pau_de_carabanchel28054-43402226068_527714/;Pau de Carabanchel (Distrito Carabanchel. Madrid Capital);2 habs.;1 baño;139 m²;;¡Bienvenido a tu refugio en las alturas en carabanchel alto! Este encantador ático, situado en la planta 6ª, ofrece un estilo de v...;40.3705447;-3.7431657
2.350.000 €;Piso en Paseo de la Castellana, 96;/comprar/piso-chamartin_el_viso28006-36727650821_101800/;El Viso (Distrito Chamartín. Madrid Capital);4 habs.;3 baños;235 m²;9ª planta;En una ubicación singular y privilegiada, en pleno paseo de la castellana, en el distrito de chamartín y barrio de el viso, calibe...;40.4439;-3.69071
1.170.000 €;Piso en calle de Fernández de la Hoz;/comprar/piso-chamberi_almagro28003-39205359768_500635/;Almagro (Distrito Chamberí. Madrid Capital);2 habs.;2 baños;162 m²;2ª planta;Espectacular y singular vivienda, exterior, totalmente reformada, en un edificio representativo y lista para entrar a vivir, en la...;40.439194;-3.6943382
1.395.000 €;Piso en Plaza de la Cancillería, 7;/comprar/piso-casa_de_campo28008-42579484552_524612/;Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital);4 habs.;7 baños;386 m²;1ª planta;Inmogil gestión inmobiliaria pone a su disposición, en venta, dos pisos unidos que útiles rondan los 300 m² aparte de zonas comuni...;40.431164;-3.7318532
430.000 €;Piso en calle de la Cruz Verde;/comprar/piso-universidad_malasana28004-43382635479_525909/;Universidad-Malasaña (Distrito Centro. Madrid Capital);3 habs.;3 baños;100 m²;Bajo;¡Gran oportunidad de inversión en pleno corazón de madrid! Te presentamos este maravilloso piso en venta, con una ubicación privil...;40.424062;-3.7070034
3.950.000 €;Piso en calle de Villanueva, 21;/comprar/piso-recoletos28001-40931515366_101800/;Recoletos (Distrito Salamanca. Madrid Capital);4 habs.;4 baños;228 m²;4ª planta;Calibe asesores inmobiliarios pone a la venta este inmueble único, situado en la zona más cotizada del barrio de recoletos, a esca...;40.4226;-3.68481
1.170.000 €;Piso en calle de Fernández de la Hoz;/comprar/piso-rios_rosas28003-43362234450_500635/;Ríos Rosas (Distrito Chamberí. Madrid Capital);2 habs.;2 baños;162 m²;2ª planta;Espectacular y singular vivienda, exterior, totalmente reformada, en un edificio representativo y lista para entrar a vivir, en la...;40.440436412;-3.694322307
