precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta
445.700 €;Piso en calle de Isabel Clara Eugenia;/comprar/piso-sanchinarro28050-35881799788_100200/;Sanchinarro (Distrito Hortaleza. Madrid Capital);3 habs.;2 baños;151 m²;Vivienda de 3 dormitorios y dos baños completos (151m²) ubicada en calle isabel clara eugenia, sanchinarro. Amplio salón-comedor de gran luminosidad y vistas excelentes. Cocina equipada.;40,4883489;-3,6482059;
312.000 €;Piso en Carretera de Canillas;/comprar/piso-hortaleza_canillas28043-36712283874_100200/;Canillas (Distrito Hortaleza. Madrid Capital);3 habs.;1 baño;117 m²;Vivienda de 3 dormitorios y un baño (117m2) con terraza cerrada. Amplio salón-comedor de gran luminosidad. Baño completo con plato de ducha y ventana. Calefacción individual.;40,4629985;-3,6458494;1ª planta
260.000 €;Casa adosada en calle de Gomeznarro;/comprar/casa_adosada-hortaleza_canillas28043-37563044270_100200/;Canillas (Distrito Hortaleza. Madrid Capital);2 habs.;1 baño;70 m²;Chalet de 2 dormitorios y un baño con amplia parcela exterior (15m2) Cocina equipada y baño con plato de ducha. Reforma integral en 2019.;40,4622508;-3,6469013;
115.000 €;Piso en Paseo de Talleres;/comprar/piso-villaverde_san_andres28021-29211651234_101800/;San Andrés (Distrito Villaverde. Madrid Capital);;;65 m²;"Piso actualmente alquilado, disponible solo inversores,( rentabilidad 6%)
Estupendo piso de 2 habitaciones y 1 baño en villaverde....";40.3472657;-3.7038041;
300.000 €;Piso en calle de Ardemans;/comprar/piso-guindalera28028-34175468591_440000/;Guindalera (Distrito Salamanca. Madrid Capital);2 habs.;1 baño;59 m²;"Venta de piso abuhardillado en séptima planta, ubicado en guindalera.

 Con una superficie aproximada de 59 m², muy luminoso. 

Se...";40.4353678;-3.6733312;Bajo
245.000 €;Piso en calle de Antonio de Leyva;/comprar/piso-carabanchel_comillas28019-34180995810_101800/;Comillas (Distrito Carabanchel. Madrid Capital);;;75 m²;"Zona plaza elíptica
Bonito piso de 2 habitaciones (antes 3) muy luminoso y bien cuidado. Enfrente de zonas verdes.buena comunicaci...";40.3903689;-3.715977;
198.900 €;Piso en calle de la Corte de Faraón;/comprar/piso-villaverde_los_angeles28041-39241236715_527256/;Los Ángeles (Distrito Villaverde. Madrid Capital);3 habs.;2 baños;100 m²;Black house vende maravillosa vivienda situada en una de las mejores zonas del barrio de ciudad de los ángeles. Con todos los serv...;40.3620093;-3.6997941;Entresuelo
353.700 €;Piso en calle del Arquitecto Sánchez Arcas, 5;/comprar/piso-ciudad_universitaria28040-3568662703_109700/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);1 hab.;1 baño;57 m²;7-5. Piso en una finca de obra nueva de 57 m² de superficie construida y emplazado en la zona de madrid capital, posicionado en pl...;40.4537315;-3.7159647;1ª planta
950.000 €;Piso en calle de Edgar Neville, 9;/comprar/piso-tetuan_cuatro_caminos28020-35914372671_511798/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);4 habs.;2 baños;254 m²;Haro gestion inmobiliaria vende en exclusiva una oportunidad única de adquirir esta vivienda en uno de los barrios más cotizados d...;40.44777976525969;-3.697169265392191;6ª planta
369.000 €;Piso en calle de José Bergamín;/comprar/piso-marroquina28030-35070656765_100500/;Marroquina (Distrito Moratalaz. Madrid Capital);2 habs.;1 baño;96 m²;Grupo gespain actividades inmobiliarias  pone a la venta en la zona mas demanda de moratalaz este fantastico inmueble  con  una su...;40.411714;-3.6365981;8ª planta
