precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta
4.200 €/mes;Piso en calle de Núñez de Balboa;/alquilar/piso-recoletos28001-35074564337_101800/;Recoletos (Distrito Salamanca. Madrid Capital);4 habs.;4 baños;200 m²;"Magnífico piso muy luminoso y de reforma reciente, en pleno corazón del barrio de Salamanca. Se accede a la vivienda por un amplio distribuidor con un aseo de cortesía.  El salón comedor dividido en dos espacios y con acceso directo a una amplia terraza con vistas a la calle.  La cocina independiente equipada con electrodomésticos de gran calidad y acceso al cuarto de servicio y un tercer baño. Tiene cuarto aparte, lavandería con lavadora y secadora. La zona de noche consta de tres habitaciones, una de ellas con baño en suite y otro baño que comparten las otras dos habitaciones, uno de ellos con bañera y otro con ducha. Todas las habitaciones cuentan con armarios empotrados. La calefacción es central y tiene aire acondicionado en todas las estancias por conducto. La finca cuenta con portero físico y con plaza de parking.

Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y en Barcelona.

Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.";40,427695431;-3,682624562;
1.950 €/mes;Piso en calle de Pedro Heredia;/alquilar/piso-fuente_del_berro28028-36683553081_101800/;Fuente del Berro (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;100 m²;"Fantástico piso recién reformado de 100 m² amueblado y decorado con gran detalle en la zona de Fuente del Berro. La vivienda cuenta con un amplio salón comedor. Una cocina tipo americana totalmente equipada. En la segunda planta se encuentran dos habitaciones dobles, una de ellas con vestidor. Dos baños, uno de ellos con plato de ducha y el otro con bañera. Calefacción individual y aire acondicionado. Gastos de comunidad, agua e IBI incluidos en el precio. 
El piso está muy bien situado en Fuente del Berro, muy cerca de Plaza de Manuel Becerra. Rodeada de todos los servicios y zonas verdes para desconectar. Bien comunicado con transporte público, está próximo a las estaciones de metro Manuel Becerra, Lista y Goya, así como varias paradas de autobús.

Walter Haus Real Estate, somos un grupo inmobiliario de servicios personalizados con sede en las principales ciudades del país, con experiencia de más de 20 años y conocimiento profundo del sector en las zonas más exclusivas de Madrid, en Jose Ortega y Gasset 66, en el Barrio de Salamanca, en General Martínez Campos 13, en el Barrio de Chamberí, y en Paseo de la Habana 66 en el Barrio de Chamartín, contamos con un dinámico equipo de profesionales con formación superior y experiencia en el asesoramiento personal, en constante formación. Nuestra larga trayectoria profesional nos permite ofrecer una excelente gestión y encontrar soluciones a las necesidades de cada cliente con el objetivo de conseguir su satisfacción y confianza.
Nuestro trabajo se basa en firmes pilares, trato profesional, atención individualizada de cada uno de los procesos y una especialización muy concreta en cada zona de actuación, contando con un plan inicial de trabajo conciso, ágil y profesional, adecuado a los parámetros de cada cliente. Apostamos por la tecnología, encontrándonos en constante proceso de estudio y análisis, contando con un CRM propio, uno de los más potentes y adaptado a la actividad del mercado actual.
Ofrecemos 3 líneas de negocio, residencial, donde asesoramos en la compra, venta y alquiler de viviendas a cliente finalista, inversión, desde donde realizamos consultaría en inversión inmobiliaria tanto en operaciones de suelo o edificios para darles valor, como en operaciones de rentabilidad tanto en el mercado hotelero, residencial o terciario y developments, desde donde somos nosotros quienes actuamos como promotores en el desarrollo de viviendas.
Nuestra filosofía: Cuida a tu cliente, cuida a tus compañeros, y no vendas nada que no comprarías.";40,4287377;-3,6650692;
3.500 €/mes;Piso en Barrio de Salamanca - Fuente del Berro;/alquilar/piso-fuente_del_berro28028-32558073293_101800/;Fuente del Berro (Distrito Salamanca. Madrid Capital);4 habs.;3 baños;175 m²;"Espectacular piso exterior en la zona de Fuente del Berro, en la zona de día cuenta con un gran salón comedor, cocina con salida a una pequeña terraza y despacho, en la zona de noche cuenta con tres habitaciones de gran tamaño, dos de ellas con baño en suite, el piso tiene suelo radiante frio/calor y domótica. Incluye trastero y plaza de Garaje en finca.

Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y Eixample, Zona Alta, Poblenou y Diagonal Mar en Barcelona.
Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con  una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.";40,4269063;-3,6673251;
3.875 €/mes;Piso en Paseo de la Castellana, 132;/alquilar/piso-castilla28046-25864669701_515716/;Castilla (Distrito Chamartín. Madrid Capital);4 habs.;3 baños;300 m²;"""excelente oportunidad"". Piso para entrar a vivir. Lujo. Totalmente amueblado. Muy luminoso. 4 dormitorios, el principal en suite ...";40.45055229445776;-3.6901085072590116;7ª planta
1.600 €/mes;Piso en calle de los Vascos, 5;/alquilar/piso-ciudad_universitaria28040-35910723067_992099/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);3 habs.;2 baños;104 m²;Vivienda muy luminosa con balcones casi esquina con la av. Reina victoria. Ideal tanto para familias como para compartir entre 3 p...;40.44737485654755;-3.710760775640919;4ª planta
950 €/mes;Piso en calle del Embalse de Navacerrada, 55;/alquilar/piso-ensanche_de_vallecas_valdecarros28051-22591037425_101800/;Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital);2 habs.;1 baño;65 m²;"Urbanización privada, pisos  seminuevos de reciente construcción, piscina comunitaria.

Ubicación inmejorable, a tan solo dos minu...";40.3591;-3.59466;
1.900 €/mes;Piso en Paseo de la Dirección;/alquilar/piso-valdeacederas28039-31727575101_519466/;Valdeacederas (Distrito Tetuán. Madrid Capital);2 habs.;2 baños;Más de 20;Skyline madrid (paseo dirección 161), planta 22, piso de 2 habitaciones, 111 m² construidos, 2 baños, orientación noreste, traster...;40.4648446;-3.705656;
1.910 €/mes;Piso en calle del Doctor Fléming, 39;/alquilar/piso-nueva_espana28036-34230465403_100500/;Nueva España (Distrito Chamartín. Madrid Capital);2 habs.;3 baños;128 m²;Km² presenta esta espectacular vivienda de 2 dormitorios, listo para entrar a vivir. Exterior en finca en perfecto estado de conse...;40.4623;-3.68824;3ª planta
3.595 €/mes;Piso en Embajadores-Lavapiés;/alquilar/piso-centro_embajadores_lavapies28012-30923811471_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);3 habs.;3 baños;199 m²;Espectacular piso de lujo exterior situado en un edificio histórico en el centro de madrid, con 199 metros cuadrados construidos i...;40.4130819;-3.7008991;
1.700 €/mes;Piso en calle del Rosario, 7;/alquilar/piso-centro_palacio28005-35866253108_992099/;Palacio (Distrito Centro. Madrid Capital);3 habs.;2 baños;104 m²;"Preciosa vivienda sin amueblar con vistas a la basílica de san francisco el grande. 

El inmueble está formado por 104m², tres dor...";40.409529065552704;-3.7140935253450027;4ª planta
